,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1258,Wage/Salaries,48.45,53.18,61.6,4.729999999999997,8.42
1259,Entrepreneurial Activities,17.38,13.82,14.21,-3.5599999999999987,0.39
1260,Cash Receipts from Abroad,11.93,10.6,7.63,-1.33,-2.97
1261,Cash Receipts from Domestic Sources,3.78,4.34,3.24,0.56,-1.1
1262,Rentals Received,0.3,0.51,0.09,0.21000000000000002,-0.42
1263,Interest,0.07,0.02,0.02,-0.05,0.01
1264,Pension,4.68,3.87,3.23,-0.8099999999999996,-0.63
1265,Dividends,1.06,0.06,0.05,-1,-0.01
1266,"Other Source of Income, NEC",0,0.15,0.11,0.15,-0.04
1267,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.04,0.01,0.13,-0.03,0.12
1268,Net Receipt from Family Sustenance Activities,0.24,0.16,0.1,-0.07999999999999999,-0.07
1269,Received as Gifts,2.17,1.58,1,-0.5899999999999999,-0.58
1270,Imputed Rent,9.91,11.72,8.6,1.8100000000000005,-3.12
1271,,,,,,
1272,Negros Oriental,,,,,
1273,Share to Family Income,100,100.0,100,,
1274,Wage/Salaries,41.56,47.39,52.12,5.829999999999998,4.73
1275,Entrepreneurial Activities,20.47,20.07,15.78,-0.3999999999999986,-4.29
1276,Cash Receipts from Abroad,11.02,5.82,7.81,-5.199999999999999,1.99
1277,Cash Receipts from Domestic Sources,6.61,6.24,6.8,-0.3700000000000001,0.56
1278,Rentals Received,0.27,0.46,0.46,0.19,0
1279,Interest,0.01,0.01,0.08,0,0.08
1280,Pension,4.75,3.12,3.66,-1.63,0.54
1281,Dividends,0.05,0.25,0.59,0.2,0.34
1282,"Other Source of Income, NEC",0.11,0.3,0.16,0.19,-0.13
1283,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.37,0.99,0.27,0.62,-0.72
1284,Net Receipt from Family Sustenance Activities,1.79,2.98,1.6,1.19,-1.38
1285,Received as Gifts,2.82,2.94,1.61,0.1200000000000001,-1.33
1286,Imputed Rent,10.15,9.43,9.04,-0.7200000000000006,-0.39
1287,,,,,,
1288,Siquijor,,,,,
1289,Share to Family Income,100,100.0,100,,
1290,Wage/Salaries,37.01,43.3,40.5,6.289999999999999,-2.8
1291,Entrepreneurial Activities,20.23,15.42,17.46,-4.8100000000000005,2.04
1292,Cash Receipts from Abroad,14.36,10.08,14.84,-4.279999999999999,4.76
1293,Cash Receipts from Domestic Sources,8.44,8.42,7.25,-0.019999999999999574,-1.18
1294,Rentals Received,0.58,0.73,0.6,0.15000000000000002,-0.14
1295,Interest,0.04,0.11,0.04,0.07,-0.07
1296,Pension,3.35,5.43,6.12,2.0799999999999996,0.69
1297,Dividends,0,0.57,0.02,0.57,-0.55
1298,"Other Source of Income, NEC",0.02,0.06,0.16,0.039999999999999994,0.1
1299,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.53,0.52,0.6,-0.010000000000000009,0.07
1300,Net Receipt from Family Sustenance Activities,3.79,3.27,2.42,-0.52,-0.86
1301,Received as Gifts,4.13,4.34,3.66,0.20999999999999996,-0.68
1302,Imputed Rent,7.53,7.75,6.34,0.21999999999999975,-1.4
1303,,,,,,
1304,REGION VII - CENTRAL VISAYAS,,,,,
1305,Share to Family Income,100,100.0,100,,
1306,Wage/Salaries,49.69,53.53,58.2,3.8400000000000034,4.670000000000002
1307,Entrepreneurial Activities,18.56,14.42,14.16,-4.139999999999999,-0.2599999999999998
1308,Cash Receipts from Abroad,11.14,7.88,8.99,-3.2600000000000007,1.1100000000000003
1309,Cash Receipts from Domestic Sources,4.8,4.17,3.98,-0.6299999999999999,-0.18999999999999995
1310,Rentals Received,0.77,0.91,0.48,0.14,-0.43000000000000005
1311,Interest,0.05,0.03,0.13,-0.020000000000000004,0.1
1312,Pension,2.75,3.2,2.33,0.4500000000000002,-0.8700000000000001
1313,Dividends,0.12,0.52,0.22,0.4,-0.30000000000000004
1314,"Other Source of Income, NEC",0.01,0.14,0.13,0.13,-0.010000000000000009
1315,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.24,0.34,0.22,0.10000000000000003,-0.12000000000000002
1316,Net Receipt from Family Sustenance Activities,0.91,1.31,0.77,0.4,-0.54
1317,Received as Gifts,2,2.44,1.23,0.43999999999999995,-1.21
1318,Imputed Rent,8.97,11.11,9.18,2.139999999999999,-1.9299999999999997
1319,,,,,,
1320,Bohol,,,,,
1321,Share to Family Income,100,100.0,100,,
1322,Wage/Salaries,37.98,47.14,49.15,9.160000000000004,2.01
1323,Entrepreneurial Activities,19.16,14.07,15.83,-5.09,1.75
1324,Cash Receipts from Abroad,15.37,11.79,10.58,-3.58,-1.21
1325,Cash Receipts from Domestic Sources,6.94,6.18,5.99,-0.7600000000000007,-0.19
1326,Rentals Received,1.11,0.32,0.21,-0.79,-0.12
1327,Interest,0.1,0.1,0.17,0,0.07
1328,Pension,3.94,3.55,4.9,-0.3900000000000001,1.34
1329,Dividends,0.16,0.03,0.03,-0.13,0
1330,"Other Source of Income, NEC",0.01,0.18,0.19,0.16999999999999998,0.01
1331,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.78,0.94,0.42,0.15999999999999992,-0.52
1332,Net Receipt from Family Sustenance Activities,2.08,2.26,1.8,0.17999999999999972,-0.46
1333,Received as Gifts,3.42,2.83,2.19,-0.5899999999999999,-0.63
1334,Imputed Rent,8.95,10.6,8.56,1.6500000000000004,-2.05
1335,,,,,,
1336,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),,,,,
1337,Share to Family Income,100,100.0,100,,
1338,Wage/Salaries,52.66,50.74,57.86,-1.9199999999999946,7.12
1339,Entrepreneurial Activities,16.86,16.8,13.88,-0.05999999999999872,-2.93
1340,Cash Receipts from Abroad,11.13,8.21,10.64,-2.92,2.44
1341,Cash Receipts from Domestic Sources,5.52,4.78,4.17,-0.7399999999999993,-0.61
1342,Rentals Received,0.28,0.87,0.26,0.59,-0.6
1343,Interest,0.01,0.02,0.18,0.01,0.16
1344,Pension,1.86,2.86,1.76,0.9999999999999998,-1.1
1345,Dividends,0.06,0.8,0.11,0.74,-0.69
1346,"Other Source of Income, NEC",0.01,0.08,0.16,0.07,0.08
1347,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.15,0.38,0.31,0.23,-0.07
1348,Net Receipt from Family Sustenance Activities,1.08,1.83,0.87,0.75,-0.97
1349,Received as Gifts,1.96,2.68,1.21,0.7200000000000002,-1.46
1350,Imputed Rent,8.43,9.94,8.58,1.5099999999999998,-1.36
1351,,,,,,
1352,City of Cebu,,,,,
1353,Share to Family Income,100,100.0,100,,
1354,Wage/Salaries,48.32,59.18,63.78,10.86,4.6
1355,Entrepreneurial Activities,25.54,11.02,14.4,-14.52,3.38
1356,Cash Receipts from Abroad,7.69,5.06,4.78,-2.630000000000001,-0.28
1357,Cash Receipts from Domestic Sources,3.06,3.0,2.63,-0.06000000000000005,-0.37
1358,Rentals Received,0.86,1.4,0.78,0.5399999999999999,-0.62
1359,Interest,0.13,0.02,0.05,-0.11,0.03
1360,Pension,3.72,2.94,1.88,-0.7800000000000002,-1.06
1361,Dividends,0.05,0.1,0.49,0.05,0.39
1362,"Other Source of Income, NEC",0,0.16,0.01,0.16,-0.15
1363,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.06,0.02,0.04,-0.039999999999999994,0.02
1364,Net Receipt from Family Sustenance Activities,0.09,0.23,0.17,0.14,-0.05
1365,Received as Gifts,1.43,2.34,0.63,0.9099999999999999,-1.72
1366,Imputed Rent,9.06,14.54,10.37,5.479999999999999,-4.17
1367,,,,,,
1368,City of Lapu-Lapu (Opon),,,,,
1369,Share to Family Income,100,100.0,100,,
1370,Wage/Salaries,56.69,57.64,59.08,0.9500000000000028,1.45
1371,Entrepreneurial Activities,13.06,12.0,13.43,-1.0600000000000005,1.43
1372,Cash Receipts from Abroad,13.13,7.94,9.53,-5.19,1.59
1373,Cash Receipts from Domestic Sources,2.49,2.19,3.12,-0.30000000000000027,0.92
1374,Rentals Received,0.79,0.87,0.54,0.07999999999999996,-0.33
1375,Interest,0.01,0.03,0.06,0.019999999999999997,0.03
1376,Pension,2.15,5.26,1.2,3.11,-4.05
1377,Dividends,0.01,0.35,0.11,0.33999999999999997,-0.24
1378,"Other Source of Income, NEC",0,0.4,0.11,0.4,-0.3
1379,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.03,0.01,0.02,-0.019999999999999997,0.01
1380,Net Receipt from Family Sustenance Activities,0.28,0.39,0.2,0.10999999999999999,-0.19
1381,Received as Gifts,1.03,1.36,0.99,0.33000000000000007,-0.37
1382,Imputed Rent,10.34,11.58,11.62,1.2400000000000002,0.04
1383,,,,,,
1384,City of Mandaue,,,,,
1385,Share to Family Income,100,100.0,100,,
1386,Wage/Salaries,57.64,63.67,65.57,6.030000000000001,1.9
1387,Entrepreneurial Activities,13.53,12.77,12.82,-0.7599999999999998,0.05
1388,Cash Receipts from Abroad,8.12,4.32,5.15,-3.799999999999999,0.83
1389,Cash Receipts from Domestic Sources,3.15,2.02,2.73,-1.13,0.7
1390,Rentals Received,2.35,1.27,1.41,-1.08,0.14
1391,Interest,0.02,0.01,0.02,-0.01,0.01
1392,Pension,2.69,2.17,2.27,-0.52,0.1
1393,Dividends,0.68,1.08,0.67,0.4,-0.4
1394,"Other Source of Income, NEC",0,0.04,0.1,0.04,0.05
1395,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.11,0.05,0,-0.06,-0.05
1396,Net Receipt from Family Sustenance Activities,0.05,0.08,0.05,0.03,-0.03
1397,Received as Gifts,1.49,2.03,0.81,0.5399999999999998,-1.21
1398,Imputed Rent,10.17,10.48,8.4,0.3100000000000005,-2.08
1399,,,,,,
1400,,,,,,
1401,REGION VIII - EASTERN VISAYAS,,,,,
1402,Share to Family Income,100,100.0,100,,
1403,Wage/Salaries,43.38,44.51,48.92,1.1299999999999955,4.41
1404,Entrepreneurial Activities,23.04,19.59,18.22,-3.4499999999999993,-1.37
1405,Cash Receipts from Abroad,6.99,7.0,6.34,0.009999999999999787,-0.67
1406,Cash Receipts from Domestic Sources,9.96,8.74,10.1,-1.2200000000000006,1.35
1407,Rentals Received,0.37,0.54,0.57,0.17000000000000004,0.02
1408,Interest,0.07,0.16,0.14,0.09,-0.02
1409,Pension,3.64,3.33,2.75,-0.31000000000000005,-0.57
1410,Dividends,0.02,0.12,0.05,0.09999999999999999,-0.07
1411,"Other Source of Income, NEC",0.03,0.16,0.11,0.13,-0.05
1412,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.09,0.98,0.71,-0.1100000000000001,-0.27
1413,Net Receipt from Family Sustenance Activities,1.71,2.04,1.4,0.33000000000000007,-0.64
1414,Received as Gifts,2.63,3.01,2.49,0.3799999999999999,-0.53
1415,Imputed Rent,7.06,9.82,8.23,2.7600000000000007,-1.6
1416,,,,,,
1417,Eastern Samar,,,,,
1418,Share to Family Income,100,100.0,100,,
1419,Wage/Salaries,42.49,45.4,48.86,2.9099999999999966,3.46
1420,Entrepreneurial Activities,22.62,21.28,19.96,-1.3399999999999999,-1.31
1421,Cash Receipts from Abroad,4.72,6.43,5.65,1.71,-0.78
1422,Cash Receipts from Domestic Sources,12.67,8.46,9.25,-4.209999999999999,0.79
1423,Rentals Received,0.41,0.84,0.66,0.43,-0.19
1424,Interest,0.09,0.08,0.08,-0.009999999999999995,0
1425,Pension,2.99,4.44,3.25,1.4500000000000002,-1.2
1426,Dividends,0.02,0.0,0,-0.02,0
1427,"Other Source of Income, NEC",0.03,0.06,0.02,0.03,-0.04
1428,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.96,0.87,0.78,-0.08999999999999997,-0.08
1429,Net Receipt from Family Sustenance Activities,2.39,1.76,1.17,-0.6300000000000001,-0.59
1430,Received as Gifts,3.09,2.81,2.47,-0.2799999999999998,-0.33
1431,Imputed Rent,7.53,7.57,7.84,0.040000000000000036,0.27
1432,,,,,,
1433,Leyte (Excluding City of Tacloban),,,,,
1434,Share to Family Income,100,100.0,100,,
1435,Wage/Salaries,42.36,43.93,52.54,1.5700000000000003,8.62
1436,Entrepreneurial Activities,21.22,16.18,15.57,-5.039999999999999,-0.6
1437,Cash Receipts from Abroad,8.11,9.0,6.25,0.8900000000000006,-2.75
1438,Cash Receipts from Domestic Sources,9.9,8.48,9.28,-1.42,0.8
1439,Rentals Received,0.23,0.27,0.53,0.04000000000000001,0.26
1440,Interest,0.02,0.25,0.19,0.23,-0.05
1441,Pension,4.44,2.36,1.76,-2.0800000000000005,-0.61
1442,Dividends,0.02,0.09,0.05,0.06999999999999999,-0.03
1443,"Other Source of Income, NEC",0.03,0.1,0.1,0.07,0
1444,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.38,1.11,0.74,-0.2699999999999998,-0.37
1445,Net Receipt from Family Sustenance Activities,2.33,2.5,1.77,0.16999999999999993,-0.73
1446,Received as Gifts,2.84,3.36,2.49,0.52,-0.87
1447,Imputed Rent,7.12,12.38,8.72,5.260000000000001,-3.66
1448,,,,,,
1449,City of Tacloban,,,,,
1450,Share to Family Income,100,100.0,100,,
1451,Wage/Salaries,52.55,52.88,58.66,0.3300000000000054,5.78
1452,Entrepreneurial Activities,18.85,15.51,12.46,-3.3400000000000016,-3.05
1453,Cash Receipts from Abroad,6.84,4.41,4.28,-2.4299999999999997,-0.13
1454,Cash Receipts from Domestic Sources,3.89,3.89,4.92,0,1.03
1455,Rentals Received,0.67,1.81,0.44,1.1400000000000001,-1.37
1456,Interest,0.01,0.07,0.05,0.060000000000000005,-0.01
1457,Pension,5.31,6.97,5.39,1.6600000000000001,-1.58
1458,Dividends,0.02,0.35,0.17,0.32999999999999996,-0.18
1459,"Other Source of Income, NEC",0.02,0.02,0.03,0,0.02
1460,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.22,0.14,0.1,-0.07999999999999999,-0.03
1461,Net Receipt from Family Sustenance Activities,0.37,0.33,0.18,-0.03999999999999998,-0.15
1462,Received as Gifts,1.88,2.26,1.02,0.3799999999999999,-1.24
1463,Imputed Rent,9.39,11.36,12.28,1.9699999999999989,0.92
1464,,,,,,
1465,Northern Samar,,,,,
1466,Share to Family Income,100,100.0,100,,
1467,Wage/Salaries,41.04,41.8,41.97,0.759999999999998,0.17
1468,Entrepreneurial Activities,32.22,26.0,25.55,-6.219999999999999,-0.44
1469,Cash Receipts from Abroad,3,3.2,3.36,0.20000000000000018,0.16
1470,Cash Receipts from Domestic Sources,9.35,10.99,12.37,1.6400000000000006,1.38
1471,Rentals Received,0.7,0.58,0.64,-0.12,0.06
1472,Interest,0.2,0.07,0.12,-0.13,0.04
1473,Pension,1.48,2.97,2.82,1.4900000000000002,-0.15
1474,Dividends,0.04,0.01,0,-0.03,0
1475,"Other Source of Income, NEC",0.06,0.18,0.1,0.12,-0.08
1476,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.65,1.22,1.07,-0.42999999999999994,-0.14
1477,Net Receipt from Family Sustenance Activities,1.13,1.98,0.91,0.8500000000000001,-1.07
1478,Received as Gifts,2.17,2.6,2.55,0.43000000000000016,-0.05
1479,Imputed Rent,6.96,8.4,8.53,1.4400000000000004,0.13
1480,,,,,,
1481,Samar (Western Samar),,,,,
1482,Share to Family Income,100,100.0,100,,
1483,Wage/Salaries,46.14,46.0,46.51,-0.14000000000000057,0.51
1484,Entrepreneurial Activities,25.61,25.23,21.98,-0.379999999999999,-3.25
1485,Cash Receipts from Abroad,3.53,2.97,5.22,-0.5599999999999996,2.25
1486,Cash Receipts from Domestic Sources,11.38,9.08,11.95,-2.3000000000000007,2.88
1487,Rentals Received,0.19,0.35,0.63,0.15999999999999998,0.28
1488,Interest,0.1,0.08,0.07,-0.020000000000000004,-0.01
1489,Pension,2.89,2.44,2,-0.4500000000000002,-0.45
1490,Dividends,0.01,0.31,0.02,0.3,-0.29
1491,"Other Source of Income, NEC",0.02,0.39,0.16,0.37,-0.23
1492,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.53,0.98,0.56,0.44999999999999996,-0.42
1493,Net Receipt from Family Sustenance Activities,1.25,2.13,1.49,0.8799999999999999,-0.64
1494,Received as Gifts,2.35,2.72,2.75,0.3700000000000001,0.03
1495,Imputed Rent,6.01,7.3,6.66,1.29,-0.65
1496,,,,,,
1497,Southern Leyte,,,,,
1498,Share to Family Income,100,100.0,100,,
1499,Wage/Salaries,41.12,42.42,41.76,1.3000000000000043,-0.66
1500,Entrepreneurial Activities,16.72,15.43,15.47,-1.2899999999999991,0.04
1501,Cash Receipts from Abroad,14.43,11.55,12.54,-2.879999999999999,0.99
1502,Cash Receipts from Domestic Sources,11.35,10.69,12.42,-0.6600000000000001,1.73
1503,Rentals Received,0.3,0.3,0.49,0,0.19
1504,Interest,0.07,0.21,0.19,0.13999999999999999,-0.02
1505,Pension,4.01,4.75,5.49,0.7400000000000002,0.73
1506,Dividends,0.02,0.11,0.09,0.09,-0.02
1507,"Other Source of Income, NEC",0.02,0.29,0.21,0.26999999999999996,-0.08
1508,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.08,1.16,0.78,0.07999999999999985,-0.38
1509,Net Receipt from Family Sustenance Activities,1.35,2.06,1.47,0.71,-0.59
1510,Received as Gifts,3.04,3.23,3.14,0.18999999999999995,-0.09
1511,Imputed Rent,6.48,7.79,5.95,1.3099999999999996,-1.84
1512,,,,,,
1513,Biliran,,,,,
1514,Share to Family Income,100,100.0,100,,
1515,Wage/Salaries,38.5,38.79,43.76,0.28999999999999915,4.97
1516,Entrepreneurial Activities,22.72,21.68,18.97,-1.0399999999999991,-2.71
1517,Cash Receipts from Abroad,12.31,12.5,11.94,0.1899999999999995,-0.56
1518,Cash Receipts from Domestic Sources,10.93,9.02,10.49,-1.9100000000000001,1.47
1519,Rentals Received,0.55,0.76,0.56,0.20999999999999996,-0.2
1520,Interest,0.02,0.12,0.08,0.09999999999999999,-0.04
1521,Pension,3.49,3.34,2.44,-0.15000000000000036,-0.9
1522,Dividends,0,0.01,0.03,0.01,0.03
1523,"Other Source of Income, NEC",0.01,0.06,0.15,0.049999999999999996,0.09
1524,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.76,0.6,0.58,-0.16000000000000003,-0.02
1525,Net Receipt from Family Sustenance Activities,1.69,1.75,1.61,0.06000000000000005,-0.13
1526,Received as Gifts,2.95,3.73,2.56,0.7799999999999998,-1.17
1527,Imputed Rent,6.07,7.65,6.82,1.58,-0.83
1528,,,,,,
1529,REGION IX - ZAMBOANGA PENINSULA,,,,,
1530,Share to Family Income,100,100.0,100,,
1531,Wage/Salaries,42.07,43.02,47.7,0.9500000000000028,4.68
1532,Entrepreneurial Activities,25.62,25.41,21.82,-0.21000000000000085,-3.59
1533,Cash Receipts from Abroad,7.83,5.74,6.76,-2.09,1.02
1534,Cash Receipts from Domestic Sources,9.69,7.79,8.6,-1.8999999999999995,0.8
1535,Rentals Received,0.51,0.47,0.34,-0.040000000000000036,-0.13
1536,Interest,0.05,0.09,0.09,0.039999999999999994,-0.01
1537,Pension,3.34,4.66,2.98,1.3200000000000003,-1.68
1538,Dividends,0.12,0.03,0.24,-0.09,0.22
1539,"Other Source of Income, NEC",0.12,0.19,0.12,0.07,-0.07
1540,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.21,1.46,1.28,0.25,-0.18
1541,Net Receipt from Family Sustenance Activities,1.6,2.02,1.35,0.41999999999999993,-0.67
1542,Received as Gifts,2.22,2.49,1.87,0.27,-0.62
1543,Imputed Rent,5.63,6.64,6.86,1.0099999999999998,0.22
1544,,,,,,
1545,Zamboanga Del Norte,,,,,
1546,Share to Family Income,100,100.0,100,,
1547,Wage/Salaries,42.96,44.66,48.56,1.6999999999999957,3.9
1548,Entrepreneurial Activities,21.22,22.14,21.05,0.9200000000000017,-1.09
1549,Cash Receipts from Abroad,6.99,5.17,6.83,-1.8200000000000003,1.66
1550,Cash Receipts from Domestic Sources,12.91,8.31,10.01,-4.6,1.7
1551,Rentals Received,0.28,0.94,0.36,0.6599999999999999,-0.57
1552,Interest,0.1,0.07,0.08,-0.03,0.01
1553,Pension,2.91,3.29,2.1,0.3799999999999999,-1.18
1554,Dividends,0.25,0.04,0,-0.21,-0.04
1555,"Other Source of Income, NEC",0.04,0.25,0.11,0.21,-0.14
1556,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.19,1.6,0.75,0.41000000000000014,-0.85
1557,Net Receipt from Family Sustenance Activities,1.99,3.13,1.81,1.14,-1.32
1558,Received as Gifts,2.86,3.13,1.85,0.27,-1.28
1559,Imputed Rent,6.32,7.27,6.48,0.9499999999999993,-0.79
1560,,,,,,
1561,Zamboanga Del Sur (Excluding City of Zamboanga),,,,,
1562,Share to Family Income,100,100.0,100,,
1563,Wage/Salaries,38.51,45.67,46.4,7.160000000000004,0.73
1564,Entrepreneurial Activities,29.42,23.5,21.62,-5.920000000000002,-1.89
1565,Cash Receipts from Abroad,9.06,5.68,6.6,-3.380000000000001,0.93
1566,Cash Receipts from Domestic Sources,10.1,7.87,8.96,-2.2299999999999995,1.08
1567,Rentals Received,0.31,0.47,0.5,0.15999999999999998,0.03
1568,Interest,0.02,0.01,0.11,-0.01,0.09
1569,Pension,2.39,4.33,3.18,1.94,-1.15
1570,Dividends,0,0.01,0.5,0.01,0.5
1571,"Other Source of Income, NEC",0.04,0.18,0.06,0.13999999999999999,-0.11
1572,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",2.08,1.76,1.8,-0.32000000000000006,0.04
1573,Net Receipt from Family Sustenance Activities,2.41,2.2,2.05,-0.20999999999999996,-0.16
1574,Received as Gifts,1.75,2.34,2.16,0.5899999999999999,-0.18
1575,Imputed Rent,3.92,5.97,6.07,2.05,0.09
1576,,,,,,
1577,City of Zamboanga,,,,,
1578,Share to Family Income,100,100.0,100,,
1579,Wage/Salaries,45.29,43.46,49.43,-1.8299999999999983,5.97
1580,Entrepreneurial Activities,22.54,24.29,20.75,1.75,-3.54
1581,Cash Receipts from Abroad,9.28,6.82,7.18,-2.459999999999999,0.36
1582,Cash Receipts from Domestic Sources,7.16,7.24,7.43,0.08000000000000007,0.19
1583,Rentals Received,0.73,0.16,0.14,-0.57,-0.01
1584,Interest,0.01,0.21,0.02,0.19999999999999998,-0.19
1585,Pension,4.51,6.63,3.69,2.12,-2.95
1586,Dividends,0,0.04,0.4,0.04,0.36
1587,"Other Source of Income, NEC",0.01,0.03,0.08,0.019999999999999997,0.05
1588,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.5,0.96,1.09,0.45999999999999996,0.13
1589,Net Receipt from Family Sustenance Activities,0.5,0.97,0.37,0.47,-0.6
1590,Received as Gifts,2.06,1.69,1.05,-0.3700000000000001,-0.64
1591,Imputed Rent,7.42,7.5,8.36,0.08000000000000007,0.86
1592,,,,,,
1593,Zamboanga Sibugay,,,,,
1594,Share to Family Income,100,100.0,100,,
1595,Wage/Salaries,37.76,35.16,44.75,-2.6000000000000014,9.59
1596,Entrepreneurial Activities,33.28,34.82,23.64,1.5399999999999991,-11.18
1597,Cash Receipts from Abroad,5.31,4.56,6.25,-0.75,1.68
1598,Cash Receipts from Domestic Sources,10.03,8.18,8.71,-1.8499999999999996,0.53
1599,Rentals Received,0.75,0.33,0.42,-0.42,0.1
1600,Interest,0.09,0.08,0.19,-0.009999999999999995,0.1
1601,Pension,2.98,4.1,2.91,1.1199999999999997,-1.19
1602,Dividends,0.09,0.01,0.07,-0.08,0.06
1603,"Other Source of Income, NEC",0.02,0.32,0.28,0.3,-0.04
1604,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.64,1.81,1.87,0.17000000000000015,0.06
1605,Net Receipt from Family Sustenance Activities,2.22,2.04,1.52,-0.18000000000000016,-0.52
1606,Received as Gifts,2.27,3.11,2.95,0.8399999999999999,-0.16
1607,Imputed Rent,3.56,5.47,6.43,1.9099999999999997,0.96
1608,,,,,,
1609,Isabela City,,,,,
1610,Share to Family Income,100,100.0,100,,
1611,Wage/Salaries,52.64,52.94,52.22,0.29999999999999716,-0.72
1612,Entrepreneurial Activities,21.42,19.7,26.99,-1.7200000000000024,7.29
1613,Cash Receipts from Abroad,5.34,8.77,6.86,3.4299999999999997,-1.91
1614,Cash Receipts from Domestic Sources,5.1,5.32,4.66,0.22000000000000064,-0.66
1615,Rentals Received,0.08,0.19,0.12,0.11,-0.07
1616,Interest,0.01,0.01,0.04,0,0.03
1617,Pension,2.85,4.37,2.97,1.52,-1.4
1618,Dividends,1.35,0.0,0,-1.35,0
1619,"Other Source of Income, NEC",3.59,0.37,0,-3.2199999999999998,-0.36
1620,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.14,0.03,0.06,-0.11000000000000001,0.03
1621,Net Receipt from Family Sustenance Activities,0.59,0.58,0.14,-0.010000000000000009,-0.44
1622,Received as Gifts,1.65,1.59,0.57,-0.05999999999999983,-1.02
1623,Imputed Rent,5.24,6.13,5.37,0.8899999999999997,-0.76
1624,,,,,,
1625,REGION X - NORTHERN MINDANAO,,,,,
1626,Share to Family Income,100,100.0,100,,
1627,Wage/Salaries,47.81,52.86,54.47,5.049999999999997,1.61
1628,Entrepreneurial Activities,22.28,19.37,19.79,-2.91,0.42
1629,Cash Receipts from Abroad,8.21,5.4,6.16,-2.8100000000000005,0.77
1630,Cash Receipts from Domestic Sources,5.49,5.24,4.47,-0.25,-0.77
1631,Rentals Received,0.75,0.59,0.68,-0.16000000000000003,0.1
1632,Interest,0.11,0.11,0.09,0,-0.02
1633,Pension,3.18,3.66,2.75,0.48,-0.91
1634,Dividends,1.03,0.56,0.54,-0.47,-0.02
1635,"Other Source of Income, NEC",0.09,0.16,0.14,0.07,-0.02
1636,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.52,0.56,0.5,0.040000000000000036,-0.07
1637,Net Receipt from Family Sustenance Activities,1.44,1.4,1.07,-0.040000000000000036,-0.34
1638,Received as Gifts,1.98,2.08,1.77,0.10000000000000009,-0.31
1639,Imputed Rent,7.11,7.99,7.56,0.8799999999999999,-0.43
1640,,,,,,
1641,Bukidnon,,,,,
1642,Share to Family Income,100,100.0,100,,
1643,Wage/Salaries,48.05,56.56,57.77,8.510000000000005,1.21
1644,Entrepreneurial Activities,26.48,23.8,24.21,-2.6799999999999997,0.42
1645,Cash Receipts from Abroad,4.9,2.98,3.11,-1.9200000000000004,0.12
1646,Cash Receipts from Domestic Sources,6.04,3.47,3.24,-2.57,-0.23
1647,Rentals Received,0.52,0.43,0.8,-0.09000000000000002,0.37
1648,Interest,0.13,0.07,0.06,-0.06,-0.01
1649,Pension,1.25,1.36,1.05,0.1100000000000001,-0.3
1650,Dividends,1.44,0.56,0.09,-0.8799999999999999,-0.47
1651,"Other Source of Income, NEC",0.26,0.12,0.22,-0.14,0.1
1652,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.42,0.65,0.55,0.23000000000000004,-0.11
1653,Net Receipt from Family Sustenance Activities,2.37,1.82,1.68,-0.55,-0.13
1654,Received as Gifts,2.48,1.78,1.56,-0.7,-0.22
1655,Imputed Rent,5.66,6.42,5.66,0.7599999999999998,-0.75
1656,,,,,,
1657,Camiguin,,,,,
1658,Share to Family Income,100,100.0,100,,
1659,Wage/Salaries,43.19,39.38,49.32,-3.809999999999995,9.94
1660,Entrepreneurial Activities,20.07,20.49,17.37,0.41999999999999815,-3.12
