,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1243,    Food Regularly Consumed Outside the Home,5.88,1.18,5.51,-4.71,4.33
1244,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
1245,Alcoholic Beverages and Tobacco,1.42,1.69,1.72,0.27,0.03
1246,Clothing and Footwear,3.03,1.73,1.71,-1.3,-0.02
1247,"Housing, Water, Electricity, Gas and Other Fuels",17.34,18.33,17.16,0.99,-1.17
1248,Furnishings and Routine Household Maintenance,2.56,2.55,2.67,0,0.12
1249,Health,2.95,3.27,3.21,0.33,-0.07
1250,Transport,6.23,4.94,6.25,-1.29,1.32
1251,Information and Communication,1.35,3.08,3.19,1.72,0.12
1252,"Recreation, Sport and Culture",1.09,0.43,0.68,-0.66,0.25
1253,Education,2.44,1.1,1.99,-1.34,0.89
1254,Hotels (Accommodation Services),0.15,0.04,0.2,-0.1,0.16
1255,Insurance and Financial Services,0,3.07,3.16,3.07,0.09
1256,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.36,4.64,3.76,-2.72,-0.87
1257,Durable Furniture and Equipment,5.75,3.35,3.05,-2.4,-0.29
1258,Special Family Occasion,2.98,2.09,2.25,-0.89,0.16
1259,Other Expenditures,3.13,1.75,2.01,-1.38,0.26
1260,,,,,,
1261,Occidental Mindoro,,,,,
1262,Share to Family Expenditure,100,100.0,100,,
1263,Food and Non-Alcoholic Beverages,47.52,43.2,45.13,-4.32,1.93
1264,    Food Consumed at Home,42.68,42.44,41.94,-0.24,-0.5
1265,    Food Regularly Consumed Outside the Home,4.84,0.76,3.18,-4.08,2.42
1266,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
1267,Alcoholic Beverages and Tobacco,1.88,2.72,1.73,0.84,-0.99
1268,Clothing and Footwear,3.5,2.6,2.58,-0.9,-0.02
1269,"Housing, Water, Electricity, Gas and Other Fuels",13.78,19.05,18.03,5.27,-1.02
1270,Furnishings and Routine Household Maintenance,2.45,2.43,2.7,-0.03,0.28
1271,Health,2.23,3.37,2.99,1.14,-0.38
1272,Transport,5.34,5.12,6.23,-0.22,1.11
1273,Information and Communication,1.18,3.02,2.84,1.84,-0.19
1274,"Recreation, Sport and Culture",0.76,0.38,0.73,-0.37,0.34
1275,Education,2.69,1.18,2.49,-1.51,1.31
1276,Hotels (Accommodation Services),0.18,0.04,0.12,-0.13,0.07
1277,Insurance and Financial Services,0,3.07,2.98,3.07,-0.09
1278,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.15,5.35,4.16,-1.79,-1.19
1279,Durable Furniture and Equipment,5.08,3.57,2.65,-1.51,-0.93
1280,Special Family Occasion,2.79,2.68,2.38,-0.11,-0.3
1281,Other Expenditures,3.46,2.22,2.29,-1.25,0.07
1282,,,,,,
1283,Oriental Mindoro,,,,,
1284,Share to Family Expenditure,100,100.0,100,,
1285,Food and Non-Alcoholic Beverages,46.91,38.64,36.81,-8.27,-1.83
1286,    Food Consumed at Home,41.39,37.56,34.7,-3.83,-2.87
1287,    Food Regularly Consumed Outside the Home,5.52,1.07,2.11,-4.45,1.05
1288,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
1289,Alcoholic Beverages and Tobacco,1.97,1.8,2.36,-0.18,0.57
1290,Clothing and Footwear,2.83,2.38,2.31,-0.45,-0.07
1291,"Housing, Water, Electricity, Gas and Other Fuels",17.65,20.95,21.26,3.29,0.31
1292,Furnishings and Routine Household Maintenance,2.12,2.18,2.52,0.06,0.34
1293,Health,2.92,5.18,3.94,2.26,-1.24
1294,Transport,7.37,6.18,8.01,-1.19,1.83
1295,Information and Communication,1.46,3.75,3.39,2.29,-0.36
1296,"Recreation, Sport and Culture",1.1,0.71,1.27,-0.39,0.56
1297,Education,2.29,1.75,4.89,-0.55,3.14
1298,Hotels (Accommodation Services),0.09,0.01,0.07,-0.08,0.05
1299,Insurance and Financial Services,0,3.33,3.07,3.33,-0.26
1300,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.94,4.69,3.8,-2.25,-0.89
1301,Durable Furniture and Equipment,2.93,4.17,2.29,1.24,-1.89
1302,Special Family Occasion,2.17,2.4,2.25,0.23,-0.16
1303,Other Expenditures,1.24,1.88,1.79,0.64,-0.09
1304,,,,,,
1305,Palawan (Excluding City of Puerto Princesa),,,,,
1306,Share to Family Expenditure,100,100.0,100,,
1307,Food and Non-Alcoholic Beverages,50.87,46.49,45.71,-4.38,-0.77
1308,    Food Consumed at Home,46.34,46.06,44.03,-0.28,-2.03
1309,    Food Regularly Consumed Outside the Home,4.53,0.42,1.68,-4.11,1.26
1310,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1311,Alcoholic Beverages and Tobacco,1.91,1.97,0.97,0.06,-1
1312,Clothing and Footwear,3.68,1.96,2.24,-1.72,0.28
1313,"Housing, Water, Electricity, Gas and Other Fuels",17.54,18.44,18.9,0.89,0.47
1314,Furnishings and Routine Household Maintenance,2.23,1.64,3.12,-0.58,1.48
1315,Health,2.08,3.16,2.82,1.08,-0.35
1316,Transport,5.43,5.61,5.74,0.18,0.13
1317,Information and Communication,1.29,2.29,2.14,1,-0.15
1318,"Recreation, Sport and Culture",0.71,0.36,1.08,-0.35,0.71
1319,Education,2.26,0.96,2.18,-1.3,1.22
1320,Hotels (Accommodation Services),0.07,0.0,0.05,-0.06,0.05
1321,Insurance and Financial Services,0,1.98,2.82,1.98,0.84
1322,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.73,5.13,4.13,-0.61,-1
1323,Durable Furniture and Equipment,2.82,6.03,3.24,3.22,-2.79
1324,Special Family Occasion,2.14,1.55,2.44,-0.59,0.89
1325,Other Expenditures,1.25,2.42,2.42,1.17,-0.01
1326,,,,,,
1327,City of Puerto Princesa,,,,,
1328,Share to Family Expenditure,100,100.0,100,,
1329,Food and Non-Alcoholic Beverages,41.82,36.51,37.27,-5.31,0.77
1330,    Food Consumed at Home,35.11,35.22,33.78,0.11,-1.44
1331,    Food Regularly Consumed Outside the Home,6.7,1.28,3.49,-5.42,2.21
1332,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1333,Alcoholic Beverages and Tobacco,1.23,1.4,0.86,0.17,-0.54
1334,Clothing and Footwear,3.64,1.41,1.92,-2.23,0.51
1335,"Housing, Water, Electricity, Gas and Other Fuels",24.65,30.05,26.25,5.4,-3.8
1336,Furnishings and Routine Household Maintenance,2.04,1.78,2.78,-0.26,1.01
1337,Health,2.32,3.03,3.07,0.71,0.04
1338,Transport,6.45,5.97,7.43,-0.48,1.46
1339,Information and Communication,2.12,3.98,3.52,1.86,-0.46
1340,"Recreation, Sport and Culture",0.6,0.38,0.8,-0.22,0.42
1341,Education,2.24,0.63,2.35,-1.61,1.72
1342,Hotels (Accommodation Services),0.04,0.02,0.02,-0.03,0.01
1343,Insurance and Financial Services,0,4.22,3.98,4.22,-0.24
1344,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.25,4.17,3.69,-2.07,-0.48
1345,Durable Furniture and Equipment,2.97,3.72,1.4,0.75,-2.31
1346,Special Family Occasion,2.07,1.34,2.43,-0.73,1.09
1347,Other Expenditures,1.56,1.39,2.21,-0.17,0.82
1348,,,,,,
1349,Romblon,,,,,
1350,Share to Family Expenditure,100,100.0,100,,
1351,Food and Non-Alcoholic Beverages,46.56,47.94,44.77,1.38,-3.17
1352,    Food Consumed at Home,42.02,47.11,40.35,5.1,-6.76
1353,    Food Regularly Consumed Outside the Home,4.54,0.83,4.42,-3.71,3.6
1354,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1355,Alcoholic Beverages and Tobacco,1.53,2.02,0.84,0.49,-1.18
1356,Clothing and Footwear,2.81,1.86,2.02,-0.95,0.16
1357,"Housing, Water, Electricity, Gas and Other Fuels",16.65,16.47,16.03,-0.18,-0.43
1358,Furnishings and Routine Household Maintenance,2.96,2.43,3.18,-0.53,0.75
1359,Health,2.5,3.39,2.46,0.89,-0.92
1360,Transport,4.81,3.53,4.8,-1.28,1.27
1361,Information and Communication,1.2,3.05,3,1.85,-0.05
1362,"Recreation, Sport and Culture",1.08,0.37,0.85,-0.71,0.48
1363,Education,1.96,0.55,1.6,-1.41,1.05
1364,Hotels (Accommodation Services),0.12,0.01,0.34,-0.1,0.33
1365,Insurance and Financial Services,0,2.86,3.25,2.86,0.39
1366,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.18,4.76,4.43,-2.41,-0.33
1367,Durable Furniture and Equipment,4.13,3.78,5.25,-0.35,1.47
1368,Special Family Occasion,2.91,3.28,3.86,0.37,0.58
1369,Other Expenditures,3.6,3.69,3.31,0.09,-0.39
1370,,,,,,
1371,REGION V - BICOL REGION,,,,,
1372,Share to Family Expenditure,100,100.0,100,,
1373,Food and Non-Alcoholic Beverages,47.01,46.18,43.01,-0.83,-3.18
1374,    Food Consumed at Home,40.94,44.01,40.96,3.07,-3.06
1375,    Food Regularly Consumed Outside the Home,6.07,2.16,2.04,-3.91,-0.12
1376,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
1377,Alcoholic Beverages and Tobacco,1.75,1.85,1.61,0.1,-0.25
1378,Clothing and Footwear,2.79,1.87,1.87,-0.92,0
1379,"Housing, Water, Electricity, Gas and Other Fuels",17.74,21.27,21.06,3.53,-0.21
1380,Furnishings and Routine Household Maintenance,2.41,2.05,2.59,-0.36,0.53
1381,Health,3.46,3.45,2.72,0,-0.74
1382,Transport,5.25,5.52,6.29,0.26,0.77
1383,Information and Communication,1.48,2.95,2.87,1.47,-0.08
1384,"Recreation, Sport and Culture",0.86,0.49,0.84,-0.37,0.35
1385,Education,2.68,1.65,5.09,-1.03,3.45
1386,Hotels (Accommodation Services),0.12,0.06,0.06,-0.06,0
1387,Insurance and Financial Services,0,2.87,2.61,2.87,-0.26
1388,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.36,4.41,3.77,-1.95,-0.64
1389,Durable Furniture and Equipment,3.4,1.88,1.74,-1.52,-0.15
1390,Special Family Occasion,3.13,2.35,2.1,-0.78,-0.25
1391,Other Expenditures,1.56,1.13,1.78,-0.43,0.64
1392,,,,,,
1393,Albay,,,,,
1394,Share to Family Expenditure,100,100.0,100,,
1395,Food and Non-Alcoholic Beverages,45.76,42.55,41.38,-3.22,-1.16
1396,    Food Consumed at Home,37.34,38.83,39.07,1.49,0.24
1397,    Food Regularly Consumed Outside the Home,8.42,3.71,2.31,-4.71,-1.4
1398,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
1399,Alcoholic Beverages and Tobacco,1.44,1.66,1.66,0.21,0
1400,Clothing and Footwear,3.03,1.87,2.06,-1.16,0.19
1401,"Housing, Water, Electricity, Gas and Other Fuels",18.83,25.16,23.71,6.33,-1.45
1402,Furnishings and Routine Household Maintenance,2.58,2.08,2.39,-0.49,0.3
1403,Health,3.4,3.15,3.36,-0.24,0.21
1404,Transport,5.5,5.37,6.84,-0.13,1.47
1405,Information and Communication,1.63,2.93,2.95,1.3,0.02
1406,"Recreation, Sport and Culture",0.77,0.54,0.76,-0.24,0.22
1407,Education,2.37,1.38,4.5,-1,3.13
1408,Hotels (Accommodation Services),0.05,0.02,0.04,-0.03,0.02
1409,Insurance and Financial Services,0,3.61,2.45,3.61,-1.16
1410,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.41,4.32,3.78,-2.1,-0.54
1411,Durable Furniture and Equipment,3.84,1.76,1.17,-2.09,-0.59
1412,Special Family Occasion,2.67,2.53,1.84,-0.14,-0.69
1413,Other Expenditures,1.71,1.08,1.11,-0.63,0.03
1414,,,,,,
1415,Camarines Norte,,,,,
1416,Share to Family Expenditure,100,100.0,100,,
1417,Food and Non-Alcoholic Beverages,48,46.11,45.02,-1.89,-1.09
1418,    Food Consumed at Home,39.43,42.75,41.54,3.32,-1.21
1419,    Food Regularly Consumed Outside the Home,8.57,3.34,3.47,-5.23,0.12
1420,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,0
1421,Alcoholic Beverages and Tobacco,1.82,1.74,1.75,-0.08,0.01
1422,Clothing and Footwear,2.42,1.55,1.79,-0.87,0.24
1423,"Housing, Water, Electricity, Gas and Other Fuels",17.64,22.94,20.67,5.3,-2.27
1424,Furnishings and Routine Household Maintenance,2.32,2.05,2.16,-0.27,0.11
1425,Health,3.92,3.79,2.07,-0.13,-1.73
1426,Transport,5.02,5.08,5.79,0.06,0.71
1427,Information and Communication,1.36,3.52,3.06,2.16,-0.46
1428,"Recreation, Sport and Culture",0.94,0.4,0.75,-0.55,0.35
1429,Education,2.82,1.11,4.74,-1.71,3.62
1430,Hotels (Accommodation Services),0.23,0.03,0.04,-0.2,0.01
1431,Insurance and Financial Services,0,2.91,2.07,2.91,-0.84
1432,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.08,4.68,4.24,-1.39,-0.44
1433,Durable Furniture and Equipment,3.5,1.27,1.35,-2.23,0.09
1434,Special Family Occasion,2.7,1.76,1.86,-0.94,0.1
1435,Other Expenditures,1.23,1.06,2.64,-0.17,1.58
1436,,,,,,
1437,Camarines Sur,,,,,
1438,Share to Family Expenditure,100,100.0,100,,
1439,Food and Non-Alcoholic Beverages,44.88,44.42,39.92,-0.45,-4.5
1440,    Food Consumed at Home,40.35,43.2,38.56,2.85,-4.64
1441,    Food Regularly Consumed Outside the Home,4.52,1.22,1.36,-3.31,0.14
1442,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
1443,Alcoholic Beverages and Tobacco,1.82,1.9,1.35,0.08,-0.54
1444,Clothing and Footwear,2.6,1.75,1.64,-0.85,-0.11
1445,"Housing, Water, Electricity, Gas and Other Fuels",19.05,22.68,23.2,3.63,0.52
1446,Furnishings and Routine Household Maintenance,2.3,1.73,2.48,-0.56,0.75
1447,Health,4.16,3.83,2.8,-0.33,-1.03
1448,Transport,5.37,6.18,6.87,0.81,0.69
1449,Information and Communication,1.62,3.23,3.07,1.62,-0.16
1450,"Recreation, Sport and Culture",0.8,0.56,0.85,-0.24,0.29
1451,Education,3.29,2.43,6.43,-0.85,4
1452,Hotels (Accommodation Services),0.12,0.12,0.04,-0.01,-0.08
1453,Insurance and Financial Services,0,2.06,2.95,2.06,0.89
1454,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.39,4.08,3.45,-2.32,-0.62
1455,Durable Furniture and Equipment,2.94,1.84,1.12,-1.1,-0.72
1456,Special Family Occasion,3.3,2.29,1.68,-1.01,-0.61
1457,Other Expenditures,1.37,0.9,2.13,-0.47,1.23
1458,,,,,,
1459,Catanduanes,,,,,
1460,Share to Family Expenditure,100,100.0,100,,
1461,Food and Non-Alcoholic Beverages,45.89,44.64,44.99,-1.25,0.35
1462,    Food Consumed at Home,40.65,42.36,40.56,1.71,-1.79
1463,    Food Regularly Consumed Outside the Home,5.24,2.27,4.4,-2.98,2.13
1464,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.03,0.01,0.01
1465,Alcoholic Beverages and Tobacco,2.11,1.78,1.96,-0.33,0.18
1466,Clothing and Footwear,2.89,2.07,1.89,-0.83,-0.18
1467,"Housing, Water, Electricity, Gas and Other Fuels",17.96,18.47,18.94,0.51,0.48
1468,Furnishings and Routine Household Maintenance,2.55,2.56,2.7,0,0.14
1469,Health,2.67,3.96,3.22,1.29,-0.74
1470,Transport,4.85,5.09,5.84,0.24,0.75
1471,Information and Communication,1.21,2.98,2.55,1.77,-0.44
1472,"Recreation, Sport and Culture",1.12,0.53,0.75,-0.59,0.22
1473,Education,1.76,0.84,2.67,-0.93,1.84
1474,Hotels (Accommodation Services),0.09,0.02,0.13,-0.07,0.11
1475,Insurance and Financial Services,0,4.02,2.92,4.02,-1.09
1476,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.7,4.59,3.91,-2.11,-0.68
1477,Durable Furniture and Equipment,3.56,3.93,2.1,0.38,-1.83
1478,Special Family Occasion,4.35,2.54,3.19,-1.8,0.64
1479,Other Expenditures,2.29,1.99,2.25,-0.3,0.25
1480,,,,,,
1481,Masbate,,,,,
1482,Share to Family Expenditure,100,100.0,100,,
1483,Food and Non-Alcoholic Beverages,52.79,54.75,47.8,1.96,-6.96
1484,    Food Consumed at Home,48.25,53.88,46.64,5.63,-7.23
1485,    Food Regularly Consumed Outside the Home,4.54,0.87,1.15,-3.67,0.28
1486,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
1487,Alcoholic Beverages and Tobacco,1.84,1.97,1.81,0.13,-0.16
1488,Clothing and Footwear,3.59,2.5,1.97,-1.09,-0.53
1489,"Housing, Water, Electricity, Gas and Other Fuels",13.08,13.16,15.65,0.09,2.49
1490,Furnishings and Routine Household Maintenance,2.29,2.4,3.22,0.11,0.82
1491,Health,1.97,2.72,2.09,0.75,-0.63
1492,Transport,4.36,4.61,5.08,0.25,0.46
1493,Information and Communication,1.06,2.04,2.27,0.98,0.24
1494,"Recreation, Sport and Culture",0.93,0.31,0.96,-0.62,0.66
1495,Education,2.37,1.36,4.88,-1,3.52
1496,Hotels (Accommodation Services),0.04,0.03,0.08,-0.01,0.05
1497,Insurance and Financial Services,0,3.02,2.44,3.02,-0.58
1498,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.07,5.19,3.71,-0.88,-1.48
1499,Durable Furniture and Equipment,3.93,1.62,3.79,-2.3,2.17
1500,Special Family Occasion,3.85,2.95,2.97,-0.9,0.02
1501,Other Expenditures,1.84,1.36,1.28,-0.48,-0.08
1502,,,,,,
1503,Sorsogon,,,,,
1504,Share to Family Expenditure,100,100.0,100,,
1505,Food and Non-Alcoholic Beverages,49.02,50.22,46.11,1.2,-4.11
1506,    Food Consumed at Home,43.23,48.36,43.95,5.13,-4.41
1507,    Food Regularly Consumed Outside the Home,5.79,1.83,2.14,-3.96,0.31
1508,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,-0.01
1509,Alcoholic Beverages and Tobacco,1.86,2.12,1.69,0.26,-0.43
1510,Clothing and Footwear,2.36,1.79,2.03,-0.57,0.25
1511,"Housing, Water, Electricity, Gas and Other Fuels",16.75,17.65,17.87,0.91,0.21
1512,Furnishings and Routine Household Maintenance,2.52,2.27,2.84,-0.24,0.56
1513,Health,3.05,3.3,2.32,0.24,-0.98
1514,Transport,5.62,5.45,5.68,-0.17,0.23
1515,Information and Communication,1.44,2.7,2.85,1.26,0.15
1516,"Recreation, Sport and Culture",0.97,0.46,0.94,-0.51,0.48
1517,Education,2.15,1.2,4.31,-0.95,3.11
1518,Hotels (Accommodation Services),0.24,0.06,0.15,-0.18,0.09
1519,Insurance and Financial Services,0,2.86,2.55,2.86,-0.32
1520,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.55,4.45,4.14,-2.1,-0.31
1521,Durable Furniture and Equipment,3.2,2.15,2.28,-1.05,0.13
1522,Special Family Occasion,2.76,2.01,2.48,-0.75,0.47
1523,Other Expenditures,1.52,1.32,1.77,-0.2,0.45
1524,,,,,,
1525,REGION VI - WESTERN VISAYAS,,,,,
1526,Share to Family Expenditure,100,100.0,100,,
1527,Food and Non-Alcoholic Beverages,42.31,41.43,41.1,-0.89,-0.33
1528,    Food Consumed at Home,37.48,39.06,37.79,1.58,-1.27
1529,    Food Regularly Consumed Outside the Home,4.83,2.35,3.29,-2.48,0.94
1530,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.02,0.02,0
1531,Alcoholic Beverages and Tobacco,1.96,2.0,1.81,0.04,-0.19
1532,Clothing and Footwear,3.05,1.89,2.11,-1.16,0.22
1533,"Housing, Water, Electricity, Gas and Other Fuels",17.97,21.35,19.96,3.38,-1.39
1534,Furnishings and Routine Household Maintenance,2.56,2.28,2.59,-0.28,0.31
1535,Health,3.69,4.72,3.65,1.02,-1.07
1536,Transport,6.26,5.43,6.69,-0.83,1.26
1537,Information and Communication,1.67,2.97,2.97,1.31,0
1538,"Recreation, Sport and Culture",0.76,0.52,0.76,-0.24,0.25
1539,Education,2.65,1.49,4.81,-1.15,3.31
1540,Hotels (Accommodation Services),0.19,0.09,0.15,-0.1,0.07
1541,Insurance and Financial Services,0,3.3,2.77,3.3,-0.53
1542,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.82,5.69,3.88,-1.13,-1.81
1543,Durable Furniture and Equipment,3.53,2.95,2.12,-0.58,-0.83
1544,Special Family Occasion,4.86,2.33,2.98,-2.53,0.65
1545,Other Expenditures,1.73,1.58,1.66,-0.15,0.08
1546,,,,,,
1547,Aklan,,,,,
1548,Share to Family Expenditure,100,100.0,100,,
1549,Food and Non-Alcoholic Beverages,40.81,41.3,42.41,0.49,1.11
1550,    Food Consumed at Home,35.6,39.46,39.85,3.86,0.39
1551,    Food Regularly Consumed Outside the Home,5.21,1.81,2.53,-3.4,0.72
1552,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.04,0.03,0.04,0
1553,Alcoholic Beverages and Tobacco,1.97,1.35,1.94,-0.62,0.59
1554,Clothing and Footwear,2.99,1.52,1.95,-1.47,0.43
1555,"Housing, Water, Electricity, Gas and Other Fuels",18.27,21.93,20.98,3.66,-0.95
1556,Furnishings and Routine Household Maintenance,2.55,2.55,2.2,0,-0.34
1557,Health,4.1,4.98,4.4,0.88,-0.58
1558,Transport,5.73,5.45,6.46,-0.28,1.01
1559,Information and Communication,1.61,2.87,2.54,1.26,-0.33
1560,"Recreation, Sport and Culture",1.06,0.55,0.78,-0.51,0.23
1561,Education,2.22,1.67,3.62,-0.55,1.95
1562,Hotels (Accommodation Services),0.51,0.15,0.11,-0.35,-0.05
1563,Insurance and Financial Services,0,3.56,2.34,3.56,-1.23
1564,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.56,4.21,3.9,-2.35,-0.31
1565,Durable Furniture and Equipment,4.66,2.86,1.82,-1.81,-1.04
1566,Special Family Occasion,4.6,2.83,3.05,-1.77,0.22
1567,Other Expenditures,2.36,2.21,1.49,-0.15,-0.71
1568,,,,,,
1569,Antique,,,,,
1570,Share to Family Expenditure,100,100.0,100,,
1571,Food and Non-Alcoholic Beverages,49.8,44.17,40.51,-5.64,-3.65
1572,    Food Consumed at Home,45.6,42.66,38.89,-2.94,-3.77
1573,    Food Regularly Consumed Outside the Home,4.2,1.49,1.57,-2.71,0.08
1574,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.05,0.01,0.04
1575,Alcoholic Beverages and Tobacco,1.39,2.09,1.38,0.7,-0.71
1576,Clothing and Footwear,3.26,2.3,2.17,-0.95,-0.13
1577,"Housing, Water, Electricity, Gas and Other Fuels",13.46,19.29,17.12,5.83,-2.17
1578,Furnishings and Routine Household Maintenance,2.59,2.02,2.75,-0.58,0.73
1579,Health,4.46,5.44,4.68,0.98,-0.76
1580,Transport,5.32,5.37,5.91,0.05,0.54
1581,Information and Communication,1.58,3.44,3.08,1.85,-0.35
1582,"Recreation, Sport and Culture",1.28,0.44,0.84,-0.84,0.4
1583,Education,2.29,1.08,6.11,-1.2,5.03
1584,Hotels (Accommodation Services),0.39,0.06,0.29,-0.33,0.24
1585,Insurance and Financial Services,0,3.51,3.16,3.51,-0.35
1586,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.51,5.72,4.52,-1.79,-1.2
1587,Durable Furniture and Equipment,3.15,2.61,3.39,-0.54,0.78
1588,Special Family Occasion,2.71,1.58,2.59,-1.12,1
1589,Other Expenditures,0.81,0.89,1.5,0.08,0.6
1590,,,,,,
1591,Capiz,,,,,
1592,Share to Family Expenditure,100,100.0,100,,
1593,Food and Non-Alcoholic Beverages,45.98,47.34,46.84,1.36,-0.5
1594,    Food Consumed at Home,38.93,44.85,40.44,5.92,-4.41
1595,    Food Regularly Consumed Outside the Home,7.05,2.48,6.38,-4.57,3.9
1596,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
1597,Alcoholic Beverages and Tobacco,1.88,2.14,1.93,0.26,-0.21
1598,Clothing and Footwear,2.93,1.83,1.94,-1.1,0.11
1599,"Housing, Water, Electricity, Gas and Other Fuels",15.93,19.44,18.56,3.51,-0.88
1600,Furnishings and Routine Household Maintenance,2.51,1.99,2.67,-0.52,0.68
1601,Health,2.61,3.32,3.05,0.71,-0.27
1602,Transport,5.96,5.29,5.97,-0.67,0.69
1603,Information and Communication,1.36,2.62,2.68,1.26,0.07
1604,"Recreation, Sport and Culture",0.48,0.32,0.7,-0.17,0.39
1605,Education,1.4,0.84,2.6,-0.57,1.76
1606,Hotels (Accommodation Services),0.19,0.07,0.45,-0.12,0.38
1607,Insurance and Financial Services,0,2.93,2.15,2.93,-0.78
1608,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.25,5.8,3.87,-1.45,-1.93
1609,Durable Furniture and Equipment,3.27,1.77,1.57,-1.5,-0.21
1610,Special Family Occasion,6.47,2.78,3.01,-3.68,0.23
1611,Other Expenditures,1.78,1.53,2,-0.26,0.48
1612,,,,,,
1613,Iloilo (Exlcuding City of Iloilo),,,,,
1614,Share to Family Expenditure,100,100.0,100,,
1615,Food and Non-Alcoholic Beverages,40.65,39.43,39.62,-1.22,0.19
1616,    Food Consumed at Home,37.28,37.25,37.1,-0.03,-0.15
1617,    Food Regularly Consumed Outside the Home,3.36,2.16,2.51,-1.2,0.34
1618,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,-0.01
1619,Alcoholic Beverages and Tobacco,2.11,2.31,1.95,0.2,-0.37
1620,Clothing and Footwear,3.01,2.0,2.16,-1.01,0.16
1621,"Housing, Water, Electricity, Gas and Other Fuels",18.04,20.82,20.44,2.78,-0.38
1622,Furnishings and Routine Household Maintenance,2.54,2.28,2.58,-0.26,0.3
1623,Health,4.07,4.88,3.39,0.81,-1.48
1624,Transport,6.74,5.43,7.05,-1.31,1.62
1625,Information and Communication,1.53,2.92,2.98,1.38,0.07
1626,"Recreation, Sport and Culture",0.67,0.66,0.77,-0.02,0.11
1627,Education,3.13,1.61,5.26,-1.52,3.65
1628,Hotels (Accommodation Services),0.1,0.1,0.04,0.01,-0.06
1629,Insurance and Financial Services,0,3.26,2.86,3.26,-0.4
1630,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.75,6.3,3.76,-0.45,-2.54
1631,Durable Furniture and Equipment,3.75,4.18,2.44,0.43,-1.74
1632,Special Family Occasion,5.29,2.38,3.14,-2.91,0.76
1633,Other Expenditures,1.62,1.44,1.54,-0.18,0.11
1634,,,,,,
1635,    City of Iloilo,,,,,
1636,Share to Family Expenditure,100,100.0,100,,
1637,Food and Non-Alcoholic Beverages,37.25,36.3,35.49,-0.95,-0.8
1638,    Food Consumed at Home,30.38,31.81,31.05,1.42,-0.75
1639,    Food Regularly Consumed Outside the Home,6.86,4.49,4.44,-2.38,-0.05
1640,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1641,Alcoholic Beverages and Tobacco,1.64,1.35,1.47,-0.29,0.11
1642,Clothing and Footwear,3.19,1.45,2.11,-1.74,0.66
1643,"Housing, Water, Electricity, Gas and Other Fuels",24.09,29.34,24.13,5.25,-5.21
1644,Furnishings and Routine Household Maintenance,2.67,2.81,2.84,0.14,0.03
