region_province_huc_by_sources_of_income,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Dividends,0.68,1.08,0.67,0.4,-0.4
"Other Source Of Income, Nec",0.0,0.04,0.1,0.04,0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.11,0.05,0.0,-0.06,-0.05
Net Receipt From Family Sustenance Activities,0.05,0.08,0.05,0.03,-0.03
Received As Gifts,1.49,2.03,0.81,0.54,-1.21
Imputed Rent,10.17,10.48,8.4,0.31,-2.08
Region VIII - Eastern Visayas,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.38,44.51,48.92,1.13,4.41
Entrepreneurial Activities,23.04,19.59,18.22,-3.45,-1.37
Cash Receipts From Abroad,6.99,7.0,6.34,0.01,-0.67
Cash Receipts From Domestic Sources,9.96,8.74,10.1,-1.22,1.35
Rentals Received,0.37,0.54,0.57,0.17,0.02
Interest,0.07,0.16,0.14,0.09,-0.02
Pension,3.64,3.33,2.75,-0.31,-0.57
Dividends,0.02,0.12,0.05,0.1,-0.07
"Other Source Of Income, Nec",0.03,0.16,0.11,0.13,-0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.09,0.98,0.71,-0.11,-0.27
Net Receipt From Family Sustenance Activities,1.71,2.04,1.4,0.33,-0.64
Received As Gifts,2.63,3.01,2.49,0.38,-0.53
Imputed Rent,7.06,9.82,8.23,2.76,-1.6
Eastern Samar,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.49,45.4,48.86,2.91,3.46
Entrepreneurial Activities,22.62,21.28,19.96,-1.34,-1.31
Cash Receipts From Abroad,4.72,6.43,5.65,1.71,-0.78
Cash Receipts From Domestic Sources,12.67,8.46,9.25,-4.21,0.79
Rentals Received,0.41,0.84,0.66,0.43,-0.19
Interest,0.09,0.08,0.08,-0.01,0.0
Pension,2.99,4.44,3.25,1.45,-1.2
Dividends,0.02,0.0,0.0,-0.02,0.0
"Other Source Of Income, Nec",0.03,0.06,0.02,0.03,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.96,0.87,0.78,-0.09,-0.08
Net Receipt From Family Sustenance Activities,2.39,1.76,1.17,-0.63,-0.59
Received As Gifts,3.09,2.81,2.47,-0.28,-0.33
Imputed Rent,7.53,7.57,7.84,0.04,0.27
Leyte (excluding City Of Tacloban),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.36,43.93,52.54,1.57,8.62
Entrepreneurial Activities,21.22,16.18,15.57,-5.04,-0.6
Cash Receipts From Abroad,8.11,9.0,6.25,0.89,-2.75
Cash Receipts From Domestic Sources,9.9,8.48,9.28,-1.42,0.8
Rentals Received,0.23,0.27,0.53,0.04,0.26
Interest,0.02,0.25,0.19,0.23,-0.05
Pension,4.44,2.36,1.76,-2.08,-0.61
Dividends,0.02,0.09,0.05,0.07,-0.03
"Other Source Of Income, Nec",0.03,0.1,0.1,0.07,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.38,1.11,0.74,-0.27,-0.37
Net Receipt From Family Sustenance Activities,2.33,2.5,1.77,0.17,-0.73
Received As Gifts,2.84,3.36,2.49,0.52,-0.87
Imputed Rent,7.12,12.38,8.72,5.26,-3.66
City Of Tacloban,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,52.55,52.88,58.66,0.33,5.78
Entrepreneurial Activities,18.85,15.51,12.46,-3.34,-3.05
Cash Receipts From Abroad,6.84,4.41,4.28,-2.43,-0.13
Cash Receipts From Domestic Sources,3.89,3.89,4.92,0.0,1.03
Rentals Received,0.67,1.81,0.44,1.14,-1.37
Interest,0.01,0.07,0.05,0.06,-0.01
Pension,5.31,6.97,5.39,1.66,-1.58
Dividends,0.02,0.35,0.17,0.33,-0.18
"Other Source Of Income, Nec",0.02,0.02,0.03,0.0,0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.22,0.14,0.1,-0.08,-0.03
Net Receipt From Family Sustenance Activities,0.37,0.33,0.18,-0.04,-0.15
Received As Gifts,1.88,2.26,1.02,0.38,-1.24
Imputed Rent,9.39,11.36,12.28,1.97,0.92
Northern Samar,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.04,41.8,41.97,0.76,0.17
Entrepreneurial Activities,32.22,26.0,25.55,-6.22,-0.44
Cash Receipts From Abroad,3.0,3.2,3.36,0.2,0.16
Cash Receipts From Domestic Sources,9.35,10.99,12.37,1.64,1.38
Rentals Received,0.7,0.58,0.64,-0.12,0.06
Interest,0.2,0.07,0.12,-0.13,0.04
Pension,1.48,2.97,2.82,1.49,-0.15
Dividends,0.04,0.01,0.0,-0.03,0.0
"Other Source Of Income, Nec",0.06,0.18,0.1,0.12,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.65,1.22,1.07,-0.43,-0.14
Net Receipt From Family Sustenance Activities,1.13,1.98,0.91,0.85,-1.07
Received As Gifts,2.17,2.6,2.55,0.43,-0.05
Imputed Rent,6.96,8.4,8.53,1.44,0.13
Samar (western Samar),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,46.14,46.0,46.51,-0.14,0.51
Entrepreneurial Activities,25.61,25.23,21.98,-0.38,-3.25
Cash Receipts From Abroad,3.53,2.97,5.22,-0.56,2.25
Cash Receipts From Domestic Sources,11.38,9.08,11.95,-2.3,2.88
Rentals Received,0.19,0.35,0.63,0.16,0.28
Interest,0.1,0.08,0.07,-0.02,-0.01
Pension,2.89,2.44,2.0,-0.45,-0.45
Dividends,0.01,0.31,0.02,0.3,-0.29
"Other Source Of Income, Nec",0.02,0.39,0.16,0.37,-0.23
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.53,0.98,0.56,0.45,-0.42
Net Receipt From Family Sustenance Activities,1.25,2.13,1.49,0.88,-0.64
Received As Gifts,2.35,2.72,2.75,0.37,0.03
Imputed Rent,6.01,7.3,6.66,1.29,-0.65
Southern Leyte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.12,42.42,41.76,1.3,-0.66
Entrepreneurial Activities,16.72,15.43,15.47,-1.29,0.04
Cash Receipts From Abroad,14.43,11.55,12.54,-2.88,0.99
Cash Receipts From Domestic Sources,11.35,10.69,12.42,-0.66,1.73
Rentals Received,0.3,0.3,0.49,0.0,0.19
Interest,0.07,0.21,0.19,0.14,-0.02
Pension,4.01,4.75,5.49,0.74,0.73
Dividends,0.02,0.11,0.09,0.09,-0.02
"Other Source Of Income, Nec",0.02,0.29,0.21,0.27,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.08,1.16,0.78,0.08,-0.38
Net Receipt From Family Sustenance Activities,1.35,2.06,1.47,0.71,-0.59
Received As Gifts,3.04,3.23,3.14,0.19,-0.09
Imputed Rent,6.48,7.79,5.95,1.31,-1.84
Biliran,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,38.5,38.79,43.76,0.29,4.97
Entrepreneurial Activities,22.72,21.68,18.97,-1.04,-2.71
Cash Receipts From Abroad,12.31,12.5,11.94,0.19,-0.56
Cash Receipts From Domestic Sources,10.93,9.02,10.49,-1.91,1.47
Rentals Received,0.55,0.76,0.56,0.21,-0.2
Interest,0.02,0.12,0.08,0.1,-0.04
Pension,3.49,3.34,2.44,-0.15,-0.9
Dividends,0.0,0.01,0.03,0.01,0.03
"Other Source Of Income, Nec",0.01,0.06,0.15,0.05,0.09
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.76,0.6,0.58,-0.16,-0.02
Net Receipt From Family Sustenance Activities,1.69,1.75,1.61,0.06,-0.13
Received As Gifts,2.95,3.73,2.56,0.78,-1.17
Imputed Rent,6.07,7.65,6.82,1.58,-0.83
Region IX - Zamboanga Peninsula,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.07,43.02,47.7,0.95,4.68
Entrepreneurial Activities,25.62,25.41,21.82,-0.21,-3.59
Cash Receipts From Abroad,7.83,5.74,6.76,-2.09,1.02
Cash Receipts From Domestic Sources,9.69,7.79,8.6,-1.9,0.8
Rentals Received,0.51,0.47,0.34,-0.04,-0.13
Interest,0.05,0.09,0.09,0.04,-0.01
Pension,3.34,4.66,2.98,1.32,-1.68
Dividends,0.12,0.03,0.24,-0.09,0.22
"Other Source Of Income, Nec",0.12,0.19,0.12,0.07,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.21,1.46,1.28,0.25,-0.18
Net Receipt From Family Sustenance Activities,1.6,2.02,1.35,0.42,-0.67
Received As Gifts,2.22,2.49,1.87,0.27,-0.62
Imputed Rent,5.63,6.64,6.86,1.01,0.22
Zamboanga Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.96,44.66,48.56,1.7,3.9
Entrepreneurial Activities,21.22,22.14,21.05,0.92,-1.09
Cash Receipts From Abroad,6.99,5.17,6.83,-1.82,1.66
Cash Receipts From Domestic Sources,12.91,8.31,10.01,-4.6,1.7
Rentals Received,0.28,0.94,0.36,0.66,-0.57
Interest,0.1,0.07,0.08,-0.03,0.01
Pension,2.91,3.29,2.1,0.38,-1.18
Dividends,0.25,0.04,0.0,-0.21,-0.04
"Other Source Of Income, Nec",0.04,0.25,0.11,0.21,-0.14
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.19,1.6,0.75,0.41,-0.85
Net Receipt From Family Sustenance Activities,1.99,3.13,1.81,1.14,-1.32
Received As Gifts,2.86,3.13,1.85,0.27,-1.28
Imputed Rent,6.32,7.27,6.48,0.95,-0.79
Zamboanga Del Sur (excluding City Of Zamboanga),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,38.51,45.67,46.4,7.16,0.73
Entrepreneurial Activities,29.42,23.5,21.62,-5.92,-1.89
Cash Receipts From Abroad,9.06,5.68,6.6,-3.38,0.93
Cash Receipts From Domestic Sources,10.1,7.87,8.96,-2.23,1.08
Rentals Received,0.31,0.47,0.5,0.16,0.03
Interest,0.02,0.01,0.11,-0.01,0.09
Pension,2.39,4.33,3.18,1.94,-1.15
Dividends,0.0,0.01,0.5,0.01,0.5
"Other Source Of Income, Nec",0.04,0.18,0.06,0.14,-0.11
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",2.08,1.76,1.8,-0.32,0.04
Net Receipt From Family Sustenance Activities,2.41,2.2,2.05,-0.21,-0.16
Received As Gifts,1.75,2.34,2.16,0.59,-0.18
Imputed Rent,3.92,5.97,6.07,2.05,0.09
City Of Zamboanga,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,45.29,43.46,49.43,-1.83,5.97
Entrepreneurial Activities,22.54,24.29,20.75,1.75,-3.54
Cash Receipts From Abroad,9.28,6.82,7.18,-2.46,0.36
Cash Receipts From Domestic Sources,7.16,7.24,7.43,0.08,0.19
Rentals Received,0.73,0.16,0.14,-0.57,-0.01
Interest,0.01,0.21,0.02,0.2,-0.19
Pension,4.51,6.63,3.69,2.12,-2.95
Dividends,0.0,0.04,0.4,0.04,0.36
"Other Source Of Income, Nec",0.01,0.03,0.08,0.02,0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.5,0.96,1.09,0.46,0.13
Net Receipt From Family Sustenance Activities,0.5,0.97,0.37,0.47,-0.6
Received As Gifts,2.06,1.69,1.05,-0.37,-0.64
Imputed Rent,7.42,7.5,8.36,0.08,0.86
Zamboanga Sibugay,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,37.76,35.16,44.75,-2.6,9.59
Entrepreneurial Activities,33.28,34.82,23.64,1.54,-11.18
Cash Receipts From Abroad,5.31,4.56,6.25,-0.75,1.68
Cash Receipts From Domestic Sources,10.03,8.18,8.71,-1.85,0.53
Rentals Received,0.75,0.33,0.42,-0.42,0.1
Interest,0.09,0.08,0.19,-0.01,0.1
Pension,2.98,4.1,2.91,1.12,-1.19
Dividends,0.09,0.01,0.07,-0.08,0.06
"Other Source Of Income, Nec",0.02,0.32,0.28,0.3,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.64,1.81,1.87,0.17,0.06
Net Receipt From Family Sustenance Activities,2.22,2.04,1.52,-0.18,-0.52
Received As Gifts,2.27,3.11,2.95,0.84,-0.16
Imputed Rent,3.56,5.47,6.43,1.91,0.96
Isabela City,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,52.64,52.94,52.22,0.3,-0.72
Entrepreneurial Activities,21.42,19.7,26.99,-1.72,7.29
Cash Receipts From Abroad,5.34,8.77,6.86,3.43,-1.91
Cash Receipts From Domestic Sources,5.1,5.32,4.66,0.22,-0.66
Rentals Received,0.08,0.19,0.12,0.11,-0.07
Interest,0.01,0.01,0.04,0.0,0.03
Pension,2.85,4.37,2.97,1.52,-1.4
Dividends,1.35,0.0,0.0,-1.35,0.0
"Other Source Of Income, Nec",3.59,0.37,0.0,-3.22,-0.36
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.14,0.03,0.06,-0.11,0.03
Net Receipt From Family Sustenance Activities,0.59,0.58,0.14,-0.01,-0.44
Received As Gifts,1.65,1.59,0.57,-0.06,-1.02
Imputed Rent,5.24,6.13,5.37,0.89,-0.76
Region X - Northern Mindanao,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.81,52.86,54.47,5.05,1.61
Entrepreneurial Activities,22.28,19.37,19.79,-2.91,0.42
Cash Receipts From Abroad,8.21,5.4,6.16,-2.81,0.77
Cash Receipts From Domestic Sources,5.49,5.24,4.47,-0.25,-0.77
Rentals Received,0.75,0.59,0.68,-0.16,0.1
Interest,0.11,0.11,0.09,0.0,-0.02
Pension,3.18,3.66,2.75,0.48,-0.91
Dividends,1.03,0.56,0.54,-0.47,-0.02
"Other Source Of Income, Nec",0.09,0.16,0.14,0.07,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.52,0.56,0.5,0.04,-0.07
Net Receipt From Family Sustenance Activities,1.44,1.4,1.07,-0.04,-0.34
Received As Gifts,1.98,2.08,1.77,0.1,-0.31
Imputed Rent,7.11,7.99,7.56,0.88,-0.43
Bukidnon,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.05,56.56,57.77,8.51,1.21
Entrepreneurial Activities,26.48,23.8,24.21,-2.68,0.42
Cash Receipts From Abroad,4.9,2.98,3.11,-1.92,0.12
Cash Receipts From Domestic Sources,6.04,3.47,3.24,-2.57,-0.23
Rentals Received,0.52,0.43,0.8,-0.09,0.37
Interest,0.13,0.07,0.06,-0.06,-0.01
Pension,1.25,1.36,1.05,0.11,-0.3
Dividends,1.44,0.56,0.09,-0.88,-0.47
"Other Source Of Income, Nec",0.26,0.12,0.22,-0.14,0.1
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.42,0.65,0.55,0.23,-0.11
Net Receipt From Family Sustenance Activities,2.37,1.82,1.68,-0.55,-0.13
Received As Gifts,2.48,1.78,1.56,-0.7,-0.22
Imputed Rent,5.66,6.42,5.66,0.76,-0.75
Camiguin,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.19,39.38,49.32,-3.81,9.94
Entrepreneurial Activities,20.07,20.49,17.37,0.42,-3.12
Cash Receipts From Abroad,9.13,6.26,7.09,-2.87,0.83
Cash Receipts From Domestic Sources,7.94,10.48,7.25,2.54,-3.22
Rentals Received,0.44,0.49,0.55,0.05,0.06
Interest,0.05,0.02,0.14,-0.03,0.13
Pension,3.38,5.49,3.67,2.11,-1.83
Dividends,0.03,0.05,0.08,0.02,0.02
"Other Source Of Income, Nec",0.01,0.03,0.0,0.02,-0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.59,0.89,0.79,0.3,-0.1
Net Receipt From Family Sustenance Activities,2.35,2.77,3.24,0.42,0.46
Received As Gifts,4.35,5.23,3.76,0.88,-1.47
Imputed Rent,8.47,8.42,6.74,-0.05,-1.68
Lanao Del Norte (excluding City Of Iligan),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,39.89,45.38,44.8,5.49,-0.58
Entrepreneurial Activities,30.98,25.14,28.11,-5.84,2.97
Cash Receipts From Abroad,7.64,4.69,4.94,-2.95,0.26
Cash Receipts From Domestic Sources,7.86,7.24,6.89,-0.62,-0.35
Rentals Received,0.19,0.29,0.33,0.1,0.03
Interest,0.21,0.05,0.17,-0.16,0.12
Pension,2.81,3.73,2.82,0.92,-0.91
Dividends,0.53,0.08,0.01,-0.45,-0.06
"Other Source Of Income, Nec",0.03,0.17,0.09,0.14,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.54,1.16,0.91,-0.38,-0.25
Net Receipt From Family Sustenance Activities,1.73,2.07,1.85,0.34,-0.23
Received As Gifts,1.5,2.48,2.63,0.98,0.15
Imputed Rent,5.1,7.52,6.45,2.42,-1.07
City Of Iligan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,46.99,53.95,54.4,6.96,0.45
Entrepreneurial Activities,20.19,16.33,18.32,-3.86,1.99
Cash Receipts From Abroad,11.19,6.53,5.83,-4.66,-0.71
Cash Receipts From Domestic Sources,5.27,5.13,3.74,-0.14,-1.39
Rentals Received,0.41,0.95,0.62,0.54,-0.33
Interest,0.09,0.28,0.14,0.19,-0.14
Pension,5.42,4.66,4.92,-0.76,0.26
Dividends,0.37,1.62,0.33,1.25,-1.29
"Other Source Of Income, Nec",0.0,0.02,0.17,0.02,0.15
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.13,0.18,0.15,0.05,-0.03
Net Receipt From Family Sustenance Activities,0.61,0.57,0.44,-0.04,-0.13
Received As Gifts,1.51,1.64,1.24,0.13,-0.4
Imputed Rent,7.82,8.14,9.7,0.32,1.56
Misamis Occidental,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.64,48.09,49.72,4.45,1.64
Entrepreneurial Activities,20.46,17.04,16.78,-3.42,-0.26
Cash Receipts From Abroad,11.61,8.36,9.69,-3.25,1.33
Cash Receipts From Domestic Sources,8.48,7.19,6.69,-1.29,-0.5
Rentals Received,0.43,0.68,0.54,0.25,-0.15
Interest,0.1,0.03,0.05,-0.07,0.02
Pension,4.07,5.88,4.7,1.81,-1.18
Dividends,0.04,0.03,0.25,-0.01,0.22
"Other Source Of Income, Nec",0.0,0.1,0.03,0.1,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.97,0.96,0.78,-0.01,-0.18
Net Receipt From Family Sustenance Activities,1.85,2.08,1.39,0.23,-0.7
Received As Gifts,1.47,2.41,1.69,0.94,-0.72
Imputed Rent,6.86,7.16,7.71,0.3,0.55
Misamis Oriental (excluding City Of Cagayan De Oro),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,51.71,52.54,54.21,0.83,1.67
Entrepreneurial Activities,19.92,18.45,19.52,-1.47,1.07
Cash Receipts From Abroad,8.45,5.24,6.78,-3.21,1.54
Cash Receipts From Domestic Sources,4.65,6.85,5.21,2.2,-1.64
Rentals Received,1.46,0.54,0.47,-0.92,-0.07
Interest,0.02,0.13,0.15,0.11,0.03
Pension,2.33,3.47,2.65,1.14,-0.82
Dividends,0.13,0.12,0.13,-0.01,0.02
"Other Source Of Income, Nec",0.04,0.14,0.07,0.1,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.45,0.61,0.45,0.16,-0.16
Net Receipt From Family Sustenance Activities,1.49,1.64,0.65,0.15,-0.99
Received As Gifts,2.3,2.66,2.32,0.36,-0.35
Imputed Rent,7.05,7.61,7.37,0.56,-0.23
City Of Cagayan De Oro,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,50.85,55.07,59.05,4.22,3.98
Entrepreneurial Activities,17.06,14.27,12.84,-2.79,-1.43
Cash Receipts From Abroad,9.32,6.82,8.06,-2.5,1.24
Cash Receipts From Domestic Sources,2.91,3.88,2.87,0.97,-1.01
Rentals Received,1.0,0.77,1.04,-0.23,0.27
Interest,0.13,0.18,0.03,0.05,-0.15
Pension,4.93,4.97,2.73,0.04,-2.24
Dividends,2.25,1.06,2.0,-1.19,0.94
"Other Source Of Income, Nec",0.07,0.33,0.2,0.26,-0.13
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.15,0.06,0.23,-0.09,0.17
Net Receipt From Family Sustenance Activities,0.28,0.23,0.19,-0.05,-0.04
Received As Gifts,1.61,1.55,1.17,-0.06,-0.38
Imputed Rent,9.45,10.82,9.59,1.37,-1.23
Region XI - Davao Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,49.32,50.95,51.37,1.63,0.41
Entrepreneurial Activities,24.01,21.48,22.77,-2.53,1.3
Cash Receipts From Abroad,7.15,5.34,5.44,-1.81,0.1
Cash Receipts From Domestic Sources,4.84,4.33,3.63,-0.51,-0.7
Rentals Received,0.61,0.96,0.6,0.35,-0.36
Interest,0.08,0.05,0.06,-0.03,0.01
Pension,2.63,2.84,3.06,0.21,0.23
Dividends,0.04,0.05,1.09,0.01,1.05
"Other Source Of Income, Nec",0.04,0.14,0.1,0.1,-0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.67,0.83,0.81,0.16,-0.02
Net Receipt From Family Sustenance Activities,1.22,1.19,0.96,-0.03,-0.23
Received As Gifts,1.88,2.51,1.8,0.63,-0.71
Imputed Rent,7.5,9.34,8.31,1.84,-1.03
Davao Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,50.43,55.71,56.22,5.28,0.51
Entrepreneurial Activities,25.93,18.58,18.48,-7.35,-0.1
Cash Receipts From Abroad,5.07,4.02,4.79,-1.05,0.77
Cash Receipts From Domestic Sources,4.6,3.82,3.91,-0.78,0.08
Rentals Received,0.74,0.56,0.67,-0.18,0.12
Interest,0.04,0.02,0.07,-0.02,0.05
Pension,3.07,2.83,3.17,-0.24,0.34
Dividends,0.05,0.01,0.11,-0.04,0.1
"Other Source Of Income, Nec",0.14,0.21,0.01,0.07,-0.2
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.43,0.74,1.05,0.31,0.32
Net Receipt From Family Sustenance Activities,1.36,1.36,1.01,0.0,-0.35
Received As Gifts,1.6,3.16,1.69,1.56,-1.47
Imputed Rent,6.54,8.97,8.8,2.43,-0.17
Davao Del Sur (excluding City Of Davao),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.32,49.72,52.28,2.4,2.56
Entrepreneurial Activities,24.93,20.98,22.86,-3.95,1.88
Cash Receipts From Abroad,7.6,6.03,5.99,-1.57,-0.04
Cash Receipts From Domestic Sources,5.4,6.23,3.77,0.83,-2.46
Rentals Received,0.64,0.61,0.9,-0.03,0.29
Interest,0.0,0.06,0.11,0.06,0.05
Pension,3.34,3.32,3.26,-0.02,-0.06
Dividends,0.11,0.06,0.15,-0.05,0.08
"Other Source Of Income, Nec",0.02,0.18,0.24,0.16,0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.9,1.38,1.12,0.48,-0.26
Net Receipt From Family Sustenance Activities,1.77,1.52,1.13,-0.25,-0.39
Received As Gifts,1.71,2.77,1.74,1.06,-1.04
Imputed Rent,6.25,7.12,6.46,0.87,-0.66
City Of Davao,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,49.7,50.65,48.99,0.95,-1.66
Entrepreneurial Activities,21.32,20.7,23.66,-0.62,2.96
Cash Receipts From Abroad,9.55,6.31,6.13,-3.24,-0.18
Cash Receipts From Domestic Sources,3.7,2.99,2.42,-0.71,-0.57
Rentals Received,0.73,1.41,0.58,0.68,-0.83
Interest,0.05,0.05,0.02,0.0,-0.02
Pension,2.82,3.22,3.33,0.4,0.11
Dividends,0.02,0.06,2.1,0.04,2.04
"Other Source Of Income, Nec",0.01,0.08,0.11,0.07,0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.56,0.26,0.44,-0.3,0.18
Net Receipt From Family Sustenance Activities,0.43,0.44,0.47,0.01,0.03
Received As Gifts,1.89,2.26,1.83,0.37,-0.43
Imputed Rent,9.22,11.58,9.92,2.36,-1.66
Davao Oriental,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.66,53.21,54.92,5.55,1.71
Entrepreneurial Activities,28.12,23.48,21.61,-4.64,-1.87
Cash Receipts From Abroad,4.17,3.63,4.13,-0.54,0.51
Cash Receipts From Domestic Sources,6.46,6.05,6.17,-0.41,0.13
Rentals Received,0.17,0.29,0.36,0.12,0.07
Interest,0.01,0.02,0.02,0.01,0.01
Pension,1.64,1.26,1.99,-0.38,0.74
Dividends,0.09,0.01,0.03,-0.08,0.02
"Other Source Of Income, Nec",0.01,0.39,0.01,0.38,-0.38
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.3,3.02,1.66,1.72,-1.36
Net Receipt From Family Sustenance Activities,2.21,1.96,1.78,-0.25,-0.18
Received As Gifts,2.09,1.83,1.97,-0.26,0.14
Imputed Rent,6.07,4.87,5.34,-1.2,0.48
Davao De Oro,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,53.6,49.49,54.18,-4.11,4.69
Entrepreneurial Activities,23.58,25.28,23.47,1.7,-1.81
Cash Receipts From Abroad,4.06,4.05,4.44,-0.01,0.39
Cash Receipts From Domestic Sources,6.28,6.5,5.01,0.22,-1.5
Rentals Received,0.31,0.52,0.42,0.21,-0.1
Interest,0.42,0.03,0.1,-0.39,0.07
Pension,1.62,1.68,2.7,0.06,1.02
Dividends,0.01,0.03,0.09,0.02,0.06
"Other Source Of Income, Nec",0.04,0.09,0.05,0.05,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.62,1.09,1.22,0.47,0.14
Net Receipt From Family Sustenance Activities,2.19,2.58,1.63,0.39,-0.95
Received As Gifts,2.12,2.77,1.62,0.65,-1.15
Imputed Rent,5.15,5.9,5.07,0.75,-0.82
Davao Occidental,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,36.68,37.28,45.17,0.6,7.9
Entrepreneurial Activities,36.34,31.86,27.65,-4.48,-4.21
Cash Receipts From Abroad,2.7,3.12,2.49,0.42,-0.63
