region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
"Housing, Water, Electricity, Gas And Other Fuels",17.65,20.95,21.26,3.29,0.31
Furnishings And Routine Household Maintenance,2.12,2.18,2.52,0.06,0.34
Health,2.92,5.18,3.94,2.26,-1.24
Transport,7.37,6.18,8.01,-1.19,1.83
Information And Communication,1.46,3.75,3.39,2.29,-0.36
"Recreation, Sport And Culture",1.1,0.71,1.27,-0.39,0.56
Education,2.29,1.75,4.89,-0.55,3.14
Hotels (accommodation Services),0.09,0.01,0.07,-0.08,0.05
Insurance And Financial Services,0.0,3.33,3.07,3.33,-0.26
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.94,4.69,3.8,-2.25,-0.89
Durable Furniture And Equipment,2.93,4.17,2.29,1.24,-1.89
Special Family Occasion,2.17,2.4,2.25,0.23,-0.16
Other Expenditures,1.24,1.88,1.79,0.64,-0.09
Palawan (excluding City Of Puerto Princesa),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,50.87,46.49,45.71,-4.38,-0.77
Food Consumed At Home,46.34,46.06,44.03,-0.28,-2.03
Food Regularly Consumed Outside The Home,4.53,0.42,1.68,-4.11,1.26
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.91,1.97,0.97,0.06,-1.0
Clothing And Footwear,3.68,1.96,2.24,-1.72,0.28
"Housing, Water, Electricity, Gas And Other Fuels",17.54,18.44,18.9,0.89,0.47
Furnishings And Routine Household Maintenance,2.23,1.64,3.12,-0.58,1.48
Health,2.08,3.16,2.82,1.08,-0.35
Transport,5.43,5.61,5.74,0.18,0.13
Information And Communication,1.29,2.29,2.14,1.0,-0.15
"Recreation, Sport And Culture",0.71,0.36,1.08,-0.35,0.71
Education,2.26,0.96,2.18,-1.3,1.22
Hotels (accommodation Services),0.07,0.0,0.05,-0.06,0.05
Insurance And Financial Services,0.0,1.98,2.82,1.98,0.84
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.73,5.13,4.13,-0.61,-1.0
Durable Furniture And Equipment,2.82,6.03,3.24,3.22,-2.79
Special Family Occasion,2.14,1.55,2.44,-0.59,0.89
Other Expenditures,1.25,2.42,2.42,1.17,-0.01
City Of Puerto Princesa,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.82,36.51,37.27,-5.31,0.77
Food Consumed At Home,35.11,35.22,33.78,0.11,-1.44
Food Regularly Consumed Outside The Home,6.7,1.28,3.49,-5.42,2.21
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.23,1.4,0.86,0.17,-0.54
Clothing And Footwear,3.64,1.41,1.92,-2.23,0.51
"Housing, Water, Electricity, Gas And Other Fuels",24.65,30.05,26.25,5.4,-3.8
Furnishings And Routine Household Maintenance,2.04,1.78,2.78,-0.26,1.01
Health,2.32,3.03,3.07,0.71,0.04
Transport,6.45,5.97,7.43,-0.48,1.46
Information And Communication,2.12,3.98,3.52,1.86,-0.46
"Recreation, Sport And Culture",0.6,0.38,0.8,-0.22,0.42
Education,2.24,0.63,2.35,-1.61,1.72
Hotels (accommodation Services),0.04,0.02,0.02,-0.03,0.01
Insurance And Financial Services,0.0,4.22,3.98,4.22,-0.24
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.25,4.17,3.69,-2.07,-0.48
Durable Furniture And Equipment,2.97,3.72,1.4,0.75,-2.31
Special Family Occasion,2.07,1.34,2.43,-0.73,1.09
Other Expenditures,1.56,1.39,2.21,-0.17,0.82
Romblon,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.56,47.94,44.77,1.38,-3.17
Food Consumed At Home,42.02,47.11,40.35,5.1,-6.76
Food Regularly Consumed Outside The Home,4.54,0.83,4.42,-3.71,3.6
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.53,2.02,0.84,0.49,-1.18
Clothing And Footwear,2.81,1.86,2.02,-0.95,0.16
"Housing, Water, Electricity, Gas And Other Fuels",16.65,16.47,16.03,-0.18,-0.43
Furnishings And Routine Household Maintenance,2.96,2.43,3.18,-0.53,0.75
Health,2.5,3.39,2.46,0.89,-0.92
Transport,4.81,3.53,4.8,-1.28,1.27
Information And Communication,1.2,3.05,3.0,1.85,-0.05
"Recreation, Sport And Culture",1.08,0.37,0.85,-0.71,0.48
Education,1.96,0.55,1.6,-1.41,1.05
Hotels (accommodation Services),0.12,0.01,0.34,-0.1,0.33
Insurance And Financial Services,0.0,2.86,3.25,2.86,0.39
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.18,4.76,4.43,-2.41,-0.33
Durable Furniture And Equipment,4.13,3.78,5.25,-0.35,1.47
Special Family Occasion,2.91,3.28,3.86,0.37,0.58
Other Expenditures,3.6,3.69,3.31,0.09,-0.39
Region V - Bicol Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.01,46.18,43.01,-0.83,-3.18
Food Consumed At Home,40.94,44.01,40.96,3.07,-3.06
Food Regularly Consumed Outside The Home,6.07,2.16,2.04,-3.91,-0.12
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.75,1.85,1.61,0.1,-0.25
Clothing And Footwear,2.79,1.87,1.87,-0.92,0.0
"Housing, Water, Electricity, Gas And Other Fuels",17.74,21.27,21.06,3.53,-0.21
Furnishings And Routine Household Maintenance,2.41,2.05,2.59,-0.36,0.53
Health,3.46,3.45,2.72,0.0,-0.74
Transport,5.25,5.52,6.29,0.26,0.77
Information And Communication,1.48,2.95,2.87,1.47,-0.08
"Recreation, Sport And Culture",0.86,0.49,0.84,-0.37,0.35
Education,2.68,1.65,5.09,-1.03,3.45
Hotels (accommodation Services),0.12,0.06,0.06,-0.06,0.0
Insurance And Financial Services,0.0,2.87,2.61,2.87,-0.26
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.36,4.41,3.77,-1.95,-0.64
Durable Furniture And Equipment,3.4,1.88,1.74,-1.52,-0.15
Special Family Occasion,3.13,2.35,2.1,-0.78,-0.25
Other Expenditures,1.56,1.13,1.78,-0.43,0.64
Albay,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.76,42.55,41.38,-3.22,-1.16
Food Consumed At Home,37.34,38.83,39.07,1.49,0.24
Food Regularly Consumed Outside The Home,8.42,3.71,2.31,-4.71,-1.4
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.44,1.66,1.66,0.21,0.0
Clothing And Footwear,3.03,1.87,2.06,-1.16,0.19
"Housing, Water, Electricity, Gas And Other Fuels",18.83,25.16,23.71,6.33,-1.45
Furnishings And Routine Household Maintenance,2.58,2.08,2.39,-0.49,0.3
Health,3.4,3.15,3.36,-0.24,0.21
Transport,5.5,5.37,6.84,-0.13,1.47
Information And Communication,1.63,2.93,2.95,1.3,0.02
"Recreation, Sport And Culture",0.77,0.54,0.76,-0.24,0.22
Education,2.37,1.38,4.5,-1.0,3.13
Hotels (accommodation Services),0.05,0.02,0.04,-0.03,0.02
Insurance And Financial Services,0.0,3.61,2.45,3.61,-1.16
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.41,4.32,3.78,-2.1,-0.54
Durable Furniture And Equipment,3.84,1.76,1.17,-2.09,-0.59
Special Family Occasion,2.67,2.53,1.84,-0.14,-0.69
Other Expenditures,1.71,1.08,1.11,-0.63,0.03
Camarines Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,48.0,46.11,45.02,-1.89,-1.09
Food Consumed At Home,39.43,42.75,41.54,3.32,-1.21
Food Regularly Consumed Outside The Home,8.57,3.34,3.47,-5.23,0.12
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,0.0
Alcoholic Beverages And Tobacco,1.82,1.74,1.75,-0.08,0.01
Clothing And Footwear,2.42,1.55,1.79,-0.87,0.24
"Housing, Water, Electricity, Gas And Other Fuels",17.64,22.94,20.67,5.3,-2.27
Furnishings And Routine Household Maintenance,2.32,2.05,2.16,-0.27,0.11
Health,3.92,3.79,2.07,-0.13,-1.73
Transport,5.02,5.08,5.79,0.06,0.71
Information And Communication,1.36,3.52,3.06,2.16,-0.46
"Recreation, Sport And Culture",0.94,0.4,0.75,-0.55,0.35
Education,2.82,1.11,4.74,-1.71,3.62
Hotels (accommodation Services),0.23,0.03,0.04,-0.2,0.01
Insurance And Financial Services,0.0,2.91,2.07,2.91,-0.84
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.08,4.68,4.24,-1.39,-0.44
Durable Furniture And Equipment,3.5,1.27,1.35,-2.23,0.09
Special Family Occasion,2.7,1.76,1.86,-0.94,0.1
Other Expenditures,1.23,1.06,2.64,-0.17,1.58
Camarines Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.88,44.42,39.92,-0.45,-4.5
Food Consumed At Home,40.35,43.2,38.56,2.85,-4.64
Food Regularly Consumed Outside The Home,4.52,1.22,1.36,-3.31,0.14
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.82,1.9,1.35,0.08,-0.54
Clothing And Footwear,2.6,1.75,1.64,-0.85,-0.11
"Housing, Water, Electricity, Gas And Other Fuels",19.05,22.68,23.2,3.63,0.52
Furnishings And Routine Household Maintenance,2.3,1.73,2.48,-0.56,0.75
Health,4.16,3.83,2.8,-0.33,-1.03
Transport,5.37,6.18,6.87,0.81,0.69
Information And Communication,1.62,3.23,3.07,1.62,-0.16
"Recreation, Sport And Culture",0.8,0.56,0.85,-0.24,0.29
Education,3.29,2.43,6.43,-0.85,4.0
Hotels (accommodation Services),0.12,0.12,0.04,-0.01,-0.08
Insurance And Financial Services,0.0,2.06,2.95,2.06,0.89
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.39,4.08,3.45,-2.32,-0.62
Durable Furniture And Equipment,2.94,1.84,1.12,-1.1,-0.72
Special Family Occasion,3.3,2.29,1.68,-1.01,-0.61
Other Expenditures,1.37,0.9,2.13,-0.47,1.23
Catanduanes,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.89,44.64,44.99,-1.25,0.35
Food Consumed At Home,40.65,42.36,40.56,1.71,-1.79
Food Regularly Consumed Outside The Home,5.24,2.27,4.4,-2.98,2.13
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.03,0.01,0.01
Alcoholic Beverages And Tobacco,2.11,1.78,1.96,-0.33,0.18
Clothing And Footwear,2.89,2.07,1.89,-0.83,-0.18
"Housing, Water, Electricity, Gas And Other Fuels",17.96,18.47,18.94,0.51,0.48
Furnishings And Routine Household Maintenance,2.55,2.56,2.7,0.0,0.14
Health,2.67,3.96,3.22,1.29,-0.74
Transport,4.85,5.09,5.84,0.24,0.75
Information And Communication,1.21,2.98,2.55,1.77,-0.44
"Recreation, Sport And Culture",1.12,0.53,0.75,-0.59,0.22
Education,1.76,0.84,2.67,-0.93,1.84
Hotels (accommodation Services),0.09,0.02,0.13,-0.07,0.11
Insurance And Financial Services,0.0,4.02,2.92,4.02,-1.09
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.7,4.59,3.91,-2.11,-0.68
Durable Furniture And Equipment,3.56,3.93,2.1,0.38,-1.83
Special Family Occasion,4.35,2.54,3.19,-1.8,0.64
Other Expenditures,2.29,1.99,2.25,-0.3,0.25
Masbate,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,52.79,54.75,47.8,1.96,-6.96
Food Consumed At Home,48.25,53.88,46.64,5.63,-7.23
Food Regularly Consumed Outside The Home,4.54,0.87,1.15,-3.67,0.28
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.84,1.97,1.81,0.13,-0.16
Clothing And Footwear,3.59,2.5,1.97,-1.09,-0.53
"Housing, Water, Electricity, Gas And Other Fuels",13.08,13.16,15.65,0.09,2.49
Furnishings And Routine Household Maintenance,2.29,2.4,3.22,0.11,0.82
Health,1.97,2.72,2.09,0.75,-0.63
Transport,4.36,4.61,5.08,0.25,0.46
Information And Communication,1.06,2.04,2.27,0.98,0.24
"Recreation, Sport And Culture",0.93,0.31,0.96,-0.62,0.66
Education,2.37,1.36,4.88,-1.0,3.52
Hotels (accommodation Services),0.04,0.03,0.08,-0.01,0.05
Insurance And Financial Services,0.0,3.02,2.44,3.02,-0.58
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.07,5.19,3.71,-0.88,-1.48
Durable Furniture And Equipment,3.93,1.62,3.79,-2.3,2.17
Special Family Occasion,3.85,2.95,2.97,-0.9,0.02
Other Expenditures,1.84,1.36,1.28,-0.48,-0.08
Sorsogon,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.02,50.22,46.11,1.2,-4.11
Food Consumed At Home,43.23,48.36,43.95,5.13,-4.41
Food Regularly Consumed Outside The Home,5.79,1.83,2.14,-3.96,0.31
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,-0.01
Alcoholic Beverages And Tobacco,1.86,2.12,1.69,0.26,-0.43
Clothing And Footwear,2.36,1.79,2.03,-0.57,0.25
"Housing, Water, Electricity, Gas And Other Fuels",16.75,17.65,17.87,0.91,0.21
Furnishings And Routine Household Maintenance,2.52,2.27,2.84,-0.24,0.56
Health,3.05,3.3,2.32,0.24,-0.98
Transport,5.62,5.45,5.68,-0.17,0.23
Information And Communication,1.44,2.7,2.85,1.26,0.15
"Recreation, Sport And Culture",0.97,0.46,0.94,-0.51,0.48
Education,2.15,1.2,4.31,-0.95,3.11
Hotels (accommodation Services),0.24,0.06,0.15,-0.18,0.09
Insurance And Financial Services,0.0,2.86,2.55,2.86,-0.32
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.55,4.45,4.14,-2.1,-0.31
Durable Furniture And Equipment,3.2,2.15,2.28,-1.05,0.13
Special Family Occasion,2.76,2.01,2.48,-0.75,0.47
Other Expenditures,1.52,1.32,1.77,-0.2,0.45
Region VI - Western Visayas,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.31,41.43,41.1,-0.89,-0.33
Food Consumed At Home,37.48,39.06,37.79,1.58,-1.27
Food Regularly Consumed Outside The Home,4.83,2.35,3.29,-2.48,0.94
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.02,0.02,0.0
Alcoholic Beverages And Tobacco,1.96,2.0,1.81,0.04,-0.19
Clothing And Footwear,3.05,1.89,2.11,-1.16,0.22
"Housing, Water, Electricity, Gas And Other Fuels",17.97,21.35,19.96,3.38,-1.39
Furnishings And Routine Household Maintenance,2.56,2.28,2.59,-0.28,0.31
Health,3.69,4.72,3.65,1.02,-1.07
Transport,6.26,5.43,6.69,-0.83,1.26
Information And Communication,1.67,2.97,2.97,1.31,0.0
"Recreation, Sport And Culture",0.76,0.52,0.76,-0.24,0.25
Education,2.65,1.49,4.81,-1.15,3.31
Hotels (accommodation Services),0.19,0.09,0.15,-0.1,0.07
Insurance And Financial Services,0.0,3.3,2.77,3.3,-0.53
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.82,5.69,3.88,-1.13,-1.81
Durable Furniture And Equipment,3.53,2.95,2.12,-0.58,-0.83
Special Family Occasion,4.86,2.33,2.98,-2.53,0.65
Other Expenditures,1.73,1.58,1.66,-0.15,0.08
Aklan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,40.81,41.3,42.41,0.49,1.11
Food Consumed At Home,35.6,39.46,39.85,3.86,0.39
Food Regularly Consumed Outside The Home,5.21,1.81,2.53,-3.4,0.72
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.04,0.03,0.04,0.0
Alcoholic Beverages And Tobacco,1.97,1.35,1.94,-0.62,0.59
Clothing And Footwear,2.99,1.52,1.95,-1.47,0.43
"Housing, Water, Electricity, Gas And Other Fuels",18.27,21.93,20.98,3.66,-0.95
Furnishings And Routine Household Maintenance,2.55,2.55,2.2,0.0,-0.34
Health,4.1,4.98,4.4,0.88,-0.58
Transport,5.73,5.45,6.46,-0.28,1.01
Information And Communication,1.61,2.87,2.54,1.26,-0.33
"Recreation, Sport And Culture",1.06,0.55,0.78,-0.51,0.23
Education,2.22,1.67,3.62,-0.55,1.95
Hotels (accommodation Services),0.51,0.15,0.11,-0.35,-0.05
Insurance And Financial Services,0.0,3.56,2.34,3.56,-1.23
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.56,4.21,3.9,-2.35,-0.31
Durable Furniture And Equipment,4.66,2.86,1.82,-1.81,-1.04
Special Family Occasion,4.6,2.83,3.05,-1.77,0.22
Other Expenditures,2.36,2.21,1.49,-0.15,-0.71
Antique,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.8,44.17,40.51,-5.64,-3.65
Food Consumed At Home,45.6,42.66,38.89,-2.94,-3.77
Food Regularly Consumed Outside The Home,4.2,1.49,1.57,-2.71,0.08
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.05,0.01,0.04
Alcoholic Beverages And Tobacco,1.39,2.09,1.38,0.7,-0.71
Clothing And Footwear,3.26,2.3,2.17,-0.95,-0.13
"Housing, Water, Electricity, Gas And Other Fuels",13.46,19.29,17.12,5.83,-2.17
Furnishings And Routine Household Maintenance,2.59,2.02,2.75,-0.58,0.73
Health,4.46,5.44,4.68,0.98,-0.76
Transport,5.32,5.37,5.91,0.05,0.54
Information And Communication,1.58,3.44,3.08,1.85,-0.35
"Recreation, Sport And Culture",1.28,0.44,0.84,-0.84,0.4
Education,2.29,1.08,6.11,-1.2,5.03
Hotels (accommodation Services),0.39,0.06,0.29,-0.33,0.24
Insurance And Financial Services,0.0,3.51,3.16,3.51,-0.35
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.51,5.72,4.52,-1.79,-1.2
Durable Furniture And Equipment,3.15,2.61,3.39,-0.54,0.78
Special Family Occasion,2.71,1.58,2.59,-1.12,1.0
Other Expenditures,0.81,0.89,1.5,0.08,0.6
Capiz,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.98,47.34,46.84,1.36,-0.5
Food Consumed At Home,38.93,44.85,40.44,5.92,-4.41
Food Regularly Consumed Outside The Home,7.05,2.48,6.38,-4.57,3.9
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
Alcoholic Beverages And Tobacco,1.88,2.14,1.93,0.26,-0.21
Clothing And Footwear,2.93,1.83,1.94,-1.1,0.11
"Housing, Water, Electricity, Gas And Other Fuels",15.93,19.44,18.56,3.51,-0.88
Furnishings And Routine Household Maintenance,2.51,1.99,2.67,-0.52,0.68
Health,2.61,3.32,3.05,0.71,-0.27
Transport,5.96,5.29,5.97,-0.67,0.69
Information And Communication,1.36,2.62,2.68,1.26,0.07
"Recreation, Sport And Culture",0.48,0.32,0.7,-0.17,0.39
Education,1.4,0.84,2.6,-0.57,1.76
Hotels (accommodation Services),0.19,0.07,0.45,-0.12,0.38
Insurance And Financial Services,0.0,2.93,2.15,2.93,-0.78
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.25,5.8,3.87,-1.45,-1.93
Durable Furniture And Equipment,3.27,1.77,1.57,-1.5,-0.21
Special Family Occasion,6.47,2.78,3.01,-3.68,0.23
Other Expenditures,1.78,1.53,2.0,-0.26,0.48
Iloilo (exlcuding City Of Iloilo),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,40.65,39.43,39.62,-1.22,0.19
Food Consumed At Home,37.28,37.25,37.1,-0.03,-0.15
Food Regularly Consumed Outside The Home,3.36,2.16,2.51,-1.2,0.34
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,-0.01
Alcoholic Beverages And Tobacco,2.11,2.31,1.95,0.2,-0.37
Clothing And Footwear,3.01,2.0,2.16,-1.01,0.16
"Housing, Water, Electricity, Gas And Other Fuels",18.04,20.82,20.44,2.78,-0.38
Furnishings And Routine Household Maintenance,2.54,2.28,2.58,-0.26,0.3
Health,4.07,4.88,3.39,0.81,-1.48
Transport,6.74,5.43,7.05,-1.31,1.62
Information And Communication,1.53,2.92,2.98,1.38,0.07
"Recreation, Sport And Culture",0.67,0.66,0.77,-0.02,0.11
Education,3.13,1.61,5.26,-1.52,3.65
Hotels (accommodation Services),0.1,0.1,0.04,0.01,-0.06
Insurance And Financial Services,0.0,3.26,2.86,3.26,-0.4
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.75,6.3,3.76,-0.45,-2.54
Durable Furniture And Equipment,3.75,4.18,2.44,0.43,-1.74
Special Family Occasion,5.29,2.38,3.14,-2.91,0.76
Other Expenditures,1.62,1.44,1.54,-0.18,0.11
City Of Iloilo,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,37.25,36.3,35.49,-0.95,-0.8
Food Consumed At Home,30.38,31.81,31.05,1.42,-0.75
Food Regularly Consumed Outside The Home,6.86,4.49,4.44,-2.38,-0.05
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.64,1.35,1.47,-0.29,0.11
Clothing And Footwear,3.19,1.45,2.11,-1.74,0.66
"Housing, Water, Electricity, Gas And Other Fuels",24.09,29.34,24.13,5.25,-5.21
Furnishings And Routine Household Maintenance,2.67,2.81,2.84,0.14,0.03
Health,3.12,3.64,3.16,0.52,-0.48
Transport,6.62,5.54,7.65,-1.07,2.11
Information And Communication,2.72,3.76,4.13,1.05,0.36
"Recreation, Sport And Culture",0.69,0.4,0.64,-0.28,0.24
Education,3.43,2.51,5.55,-0.92,3.04
Hotels (accommodation Services),0.03,0.01,0.0,-0.02,0.0
Insurance And Financial Services,6.55,3.38,3.94,-3.17,0.56
"Personal Care, Social Protection And Miscellaneous Goods And Services",2.56,5.09,3.58,2.53,-1.51
Durable Furniture And Equipment,3.38,1.0,1.04,-2.37,0.04
Special Family Occasion,2.08,1.46,2.21,-0.62,0.75
Other Expenditures,0.0,1.98,2.07,1.98,0.09
Guimaras,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,48.76,44.5,43.41,-4.26,-1.09
Food Consumed At Home,44.23,42.36,41.02,-1.87,-1.34
Food Regularly Consumed Outside The Home,4.53,2.12,2.38,-2.4,0.25
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,3.12,1.69,1.59,-1.43,-0.1
Clothing And Footwear,3.29,2.3,2.73,-0.99,0.43
"Housing, Water, Electricity, Gas And Other Fuels",15.34,16.76,14.59,1.42,-2.17
Furnishings And Routine Household Maintenance,2.46,1.87,2.55,-0.59,0.68
Health,2.82,9.37,4.42,6.55,-4.96
Transport,5.33,5.75,6.64,0.42,0.89
Information And Communication,1.3,2.09,2.22,0.79,0.13
"Recreation, Sport And Culture",0.67,0.26,1.04,-0.41,0.78
Education,2.57,0.82,8.06,-1.75,7.24
Hotels (accommodation Services),0.08,0.04,0.12,-0.04,0.08
Insurance And Financial Services,0.0,3.61,1.7,3.61,-1.91
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.9,5.35,4.08,-0.55,-1.27
Durable Furniture And Equipment,2.31,1.26,1.5,-1.05,0.24
Special Family Occasion,4.57,2.48,4.07,-2.09,1.6
Other Expenditures,1.47,1.86,1.27,0.39,-0.59
Nir - Negros Island Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.11,46.93,44.22,3.82,-2.71
Food Consumed At Home,36.65,43.38,38.86,6.74,-4.52
Food Regularly Consumed Outside The Home,6.46,3.54,5.36,-2.92,1.82
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.92,1.71,1.52,-0.22,-0.18
Clothing And Footwear,3.09,1.86,2.15,-1.23,0.3
"Housing, Water, Electricity, Gas And Other Fuels",19.69,20.86,19.5,1.17,-1.36
Furnishings And Routine Household Maintenance,2.69,2.1,2.57,-0.6,0.47
Health,2.97,3.16,2.49,0.19,-0.67
Transport,6.27,5.59,6.97,-0.68,1.38
Information And Communication,1.9,2.98,2.89,1.08,-0.08
"Recreation, Sport And Culture",0.78,0.48,0.82,-0.29,0.34
Education,2.58,1.29,3.67,-1.29,2.38
Hotels (accommodation Services),0.11,0.02,0.08,-0.09,0.07
Insurance And Financial Services,0.0,2.56,2.1,2.56,-0.46
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.09,4.57,3.55,-1.52,-1.02
Durable Furniture And Equipment,3.55,2.22,2.99,-1.34,0.77
Special Family Occasion,3.33,2.5,3.05,-0.83,0.56
Other Expenditures,1.91,1.19,1.42,-0.73,0.24
Negros Occidental (excluding City Of Bacolod),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.41,51.89,46.22,4.49,-5.67
Food Consumed At Home,40.41,47.94,40.83,7.54,-7.11
Food Regularly Consumed Outside The Home,7.0,3.95,5.39,-3.05,1.44
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.46,2.17,1.87,-0.29,-0.3
Clothing And Footwear,2.99,2.04,2.27,-0.95,0.23
"Housing, Water, Electricity, Gas And Other Fuels",16.45,17.88,17.49,1.43,-0.39
Furnishings And Routine Household Maintenance,2.53,2.01,2.42,-0.52,0.41
Health,2.84,2.43,2.29,-0.42,-0.13
Transport,6.07,5.23,6.77,-0.84,1.55
Information And Communication,1.64,2.6,2.61,0.96,0.01
"Recreation, Sport And Culture",0.86,0.5,0.86,-0.36,0.37
Education,2.07,1.2,3.17,-0.87,1.97
Hotels (accommodation Services),0.12,0.02,0.12,-0.11,0.1
Insurance And Financial Services,0.0,2.11,2.2,2.11,0.09
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.03,4.71,3.78,-1.32,-0.94
Durable Furniture And Equipment,3.44,1.45,2.99,-1.99,1.55
Special Family Occasion,3.26,2.5,3.24,-0.76,0.74
